,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
0,B,2,1,572.074,1142581.833,0.655,64.0,11137550.56,517.887,96748.247,1.248,86191.839,507.0,266397.957,0.841,921.0,65.854,1.164,26.029,13.208,10.251,290.367,917.451,2830.855,8208818.594,2899.767,0.184,276.758,6,445.357,13.208,10.251,1.029,177.626,0,2,1,,,,,,,,,,,0
1,B,2,2,62.214,300861.003,0.956,16.0,1157455.478,310.331,54992.052,1.331,79684.599,476.0,239955.82,0.88,1259.0,51.952,0.964,19.806,14.117,13.507,188.966,1269.836,2981.938,4373070.409,1466.519,0.331,123.419,3,236.056,14.117,13.507,1.045,98.449,0,1,1,,,,,,,,,,,0
2,B,2,3,155.905,885720.412,0.818,33.0,4933275.259,316.352,66949.192,1.392,34042.222,203.0,397496.92,0.748,1996.0,58.505,1.242,24.399,12.562,12.025,203.859,1949.859,4452.924,4497929.693,1010.107,0.409,85.516,2,176.241,12.562,12.025,1.235,78.852,0,0,1,,,,,,,,,,,0
3,B,2,4,285.403,734931.868,0.656,30.0,8063841.777,336.738,74673.031,1.312,13810.308,80.0,367872.782,0.672,1932.0,59.757,1.521,25.225,11.926,10.928,191.078,1925.244,3414.822,3629322.891,1062.815,0.332,97.667,2,200.602,11.926,10.928,1.153,91.566,0,0,1,,,,,,,,,,,0
4,B,2,5,73.939,420702.154,0.825,24.0,1379741.027,247.377,42733.453,1.298,114386.553,681.0,298943.725,0.944,1395.0,54.227,0.912,18.821,14.76,16.9,220.865,1353.512,3458.782,5016108.26,1450.253,0.371,134.414,4,221.614,14.76,16.9,0.753,88.611,0,0,1,,,,,,,,,,,0
5,B,2,6,344.026,650895.966,0.622,44.0,5792461.86,352.265,71336.076,1.27,35159.988,207.0,283367.395,0.859,1218.5,58.039,1.14,23.15,13.589,12.067,230.266,1230.609,2477.628,3581934.686,1445.711,0.221,157.984,4,286.651,13.589,12.067,1.059,121.03,0,2,1,,,,,,,,,,,0
6,B,2,1,74.572,381834.526,0.827,22.0,1361786.725,0.528,57.461,1.448,432.5,4.0,276278.162,0.714,1008.0,70.459,1.307,27.803,17.606,18.179,281.917,979.997,2520.579,4797913.84,1903.497,0.388,146.044,4,248.413,17.606,18.179,0.778,107.799,0,0,2,,,,,,,,,,,0
7,B,2,2,410.254,1153562.985,0.741,64.0,8784452.003,2.113,244.948,1.507,1113.545,10.0,253813.288,0.741,1050.0,64.702,1.314,26.557,12.693,13.068,246.849,1028.211,3034.333,8213934.618,2706.998,0.166,227.831,2,452.886,12.693,13.068,1.174,209.07,0,0,2,,,,,,,,,,,0
8,B,2,3,308.43,987137.978,0.635,63.0,5349283.343,1.584,170.587,1.495,1394.5,13.0,241004.375,0.846,1208.0,54.079,1.097,20.293,11.877,12.793,196.994,1223.412,2896.802,4965737.477,1714.214,0.22,163.686,3,313.221,11.877,12.793,0.897,138.385,0,1,2,,,,,,,,,,,0
9,B,2,4,333.674,855440.02,0.662,36.0,9535433.991,0.423,47.743,1.571,452.0,4.0,438654.002,0.751,2041.0,59.166,1.235,23.679,18.552,19.187,209.141,2097.412,3556.501,4759249.652,1338.183,0.538,89.39,3,176.724,18.552,19.187,0.917,74.34,0,1,2,,,,,,,,,,,0
