,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,CHRONO_ORDER
0,B,3,1,29.575,16038.84,0.985,20.0,24334.253,36.969,84871.277,1.092,85511.493,42.0,371429.441,0.522,2705.0,57.201,1.405,17.956,15.625,12.462,135.941,2732.276,9860.404,12124344.109,1229.599,0.372,106.1,3,203.855,15.625,12.462,0.878,72.194,0,1,1,,,,,,,,,,,1
1,B,3,2,210.514,79218.005,0.878,70.0,263213.843,629.851,1751996.784,1.217,67250.6,36.0,371169.071,0.44,2264.0,67.936,1.782,22.753,16.607,14.752,161.609,2296.715,14985.176,21949144.03,1464.724,0.365,123.077,3,224.537,16.607,14.752,1.164,91.32,0,1,1,,,,,,,,,,,1
2,B,3,3,323.534,222395.717,0.877,122.0,735008.397,641.259,2122984.917,1.143,58341.487,31.0,515110.432,0.779,3856.0,46.525,1.145,19.194,18.85,12.793,134.251,3836.91,14747.074,27084992.804,1836.635,0.264,188.727,7,295.544,18.85,12.793,0.866,75.145,0,5,1,,,,,,,,,,,1
3,B,3,4,2.218,1771.167,0.999,2.0,1982.294,415.324,939817.71,1.232,152566.248,83.0,362697.608,0.489,2456.0,61.694,1.639,20.778,28.791,28.512,148.194,2447.45,10923.508,44174879.932,4044.019,0.467,234.346,5,329.741,28.791,28.512,0.778,127.683,0,3,1,,,,,,,,,,,1
4,B,3,5,241.885,185572.536,0.857,75.0,713278.368,1357.407,4816027.321,1.033,112337.244,53.0,703454.567,0.411,3177.0,82.309,1.72,24.17,17.541,11.302,221.499,3175.882,14089.98,34943241.94,2480.007,0.201,244.585,9,394.125,17.541,11.302,1.333,104.902,0,5,1,,,,,,,,,,,1
5,B,3,6,0.951,783.333,0.965,1.0,744.667,557.814,1413116.915,1.399,61197.944,35.0,352737.127,0.604,2399.0,55.35,1.285,18.406,22.647,22.194,147.349,2393.887,13212.492,24186976.732,1830.614,0.395,173.42,6,241.231,22.647,22.194,0.652,84.24,0,2,1,,,,,,,,,,,1
6,B,3,7,0.951,600.0,0.965,1.0,570.384,429.795,915837.729,1.378,149180.44,86.0,228508.539,0.793,2319.0,39.515,1.127,14.545,18.07,18.837,98.55,2318.716,11105.534,31695530.259,2854.03,0.307,185.169,3,341.87,18.07,18.837,0.943,151.776,0,1,1,,,,,,,,,,,1
7,B,3,1,6.021,3981.389,0.976,6.0,4007.578,388.178,738214.164,1.228,174383.498,108.0,171610.772,0.65,2163.0,39.16,1.303,13.82,28.529,27.677,79.326,2163.373,8261.428,48639323.146,5887.52,0.202,448.387,13,604.551,28.529,27.677,1.177,169.156,1,7,2,,,,,,,,,,,1
8,B,3,2,915.888,577504.764,0.868,309.0,2017406.393,946.731,2275174.446,0.999,656701.659,340.0,303012.356,0.711,2766.0,44.033,1.134,14.816,27.131,25.126,109.64,2763.693,11787.444,57205867.61,4853.119,0.328,259.912,4,430.933,27.131,25.126,0.914,166.28,0,2,2,,,,,,,,,,,1
9,B,3,3,15.633,5639.124,0.945,5.0,30045.376,333.252,675599.358,1.078,324464.269,183.0,254190.375,0.759,2542.5,40.753,1.096,14.991,24.597,22.666,100.345,2533.158,12068.551,35883213.866,2973.283,0.408,188.033,5,302.591,24.597,22.666,0.701,118.881,0,1,2,,,,,,,,,,,1
