,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
0,B,3,1,470.144,1203201.708,0.615,65.0,9587559.02,2.113,233.963,1.471,1773.167,16.0,277953.294,0.935,791.0,69.284,0.995,24.808,18.818,20.204,357.018,778.542,2922.711,6710249.984,2295.899,0.266,216.09,7,329.466,18.818,20.204,0.848,121.671,0,5,1,,,,,,,,,,,1
1,B,3,2,380.678,755328.215,0.619,44.0,7877268.999,1.584,172.594,1.524,1415.333,13.0,433785.461,0.754,1299.0,75.515,1.13,28.313,21.116,23.765,342.23,1267.526,3109.538,4939886.427,1588.624,0.501,106.066,3,199.683,21.116,23.765,0.971,80.303,0,1,1,,,,,,,,,,,1
2,B,3,3,698.509,1273685.656,0.69,61.0,16093467.722,1.901,214.528,1.438,1331.167,12.0,347951.186,0.93,1074.0,67.037,1.0,24.783,20.606,21.942,332.618,1046.098,3085.011,7986808.731,2588.908,0.363,189.796,6,299.179,20.606,21.942,0.732,123.685,0,2,1,,,,,,,,,,,1
3,B,3,4,383.847,1295676.397,0.658,77.0,7017524.795,2.429,275.052,1.479,2133.167,19.0,239778.684,0.842,939.5,62.886,1.062,24.14,14.719,15.204,265.123,904.406,2873.551,6989535.335,2432.369,0.24,175.421,2,356.611,14.719,15.204,0.987,165.796,0,0,1,,,,,,,,,,,1
4,B,3,5,291.424,861964.217,0.713,46.0,6346685.816,0.317,35.279,1.571,334.0,3.0,378496.704,0.877,1471.0,61.225,1.055,22.964,18.243,19.035,261.637,1446.648,3155.261,4300638.457,1363.005,0.451,100.578,4,194.968,18.243,19.035,0.831,76.963,0,0,1,,,,,,,,,,,1
5,B,3,6,504.789,1765580.172,0.677,92.0,11025289.359,2.113,247.694,1.386,1267.9,11.0,292076.73,0.91,1008.0,64.126,1.011,23.67,21.238,20.645,297.867,980.561,3207.802,7324808.479,2283.436,0.375,177.763,5,276.643,21.238,20.645,0.721,95.337,0,3,1,,,,,,,,,,,1
6,B,3,7,260.581,950452.852,0.727,59.0,4645737.726,1.69,191.29,1.486,1468.0,13.0,234459.012,0.808,1003.0,61.698,1.13,24.14,15.956,15.365,244.842,957.591,2744.289,4319930.519,1574.153,0.393,104.344,2,224.274,15.956,15.365,1.083,96.203,0,0,1,,,,,,,,,,,1
7,B,3,8,111.964,488584.651,0.84,29.0,1936633.533,0.634,75.84,1.571,718.0,6.0,257147.497,0.811,998.0,64.316,1.103,25.53,14.323,11.055,266.918,963.394,3154.166,6715249.396,2129.009,0.377,174.906,5,266.483,14.323,11.055,0.729,91.351,0,1,1,,,,,,,,,,,1
8,B,3,9,325.541,1294680.218,0.607,64.0,7151548.875,2.535,288.677,1.42,1817.833,16.0,255119.044,0.81,1229.0,57.168,1.088,21.381,11.375,10.164,210.725,1210.673,3058.94,4178722.458,1366.069,0.235,131.19,2,270.523,11.375,10.164,1.0,122.571,0,0,1,,,,,,,,,,,1
9,B,3,10,145.237,489980.746,0.896,26.0,3319405.62,0.739,82.177,1.201,450.0,4.0,259976.811,0.801,1191.0,59.181,1.085,23.103,15.6,12.168,223.295,1164.277,3527.72,5043425.619,1429.656,0.407,120.397,3,210.181,15.6,12.168,0.957,89.047,0,1,1,,,,,,,,,,,1
