,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,7,1,94.219,56169.318,0.952,49,120823.926,537.956,1867130.184,0.977,48920.401,29,685192.153,0.859,3073.0,57.381,1.048,20.332,22.105,22.63,224.985,3045.507,6935.102,12320441.131,1776.534,0.344,142.054,3,254.624,22.105,22.63,1.35,112.211,0,1,1,5
1,B,7,2,1.479,1011.0,1.053,1,1495.039,534.787,1017477.016,1.425,64232.566,47,765663.872,0.929,3772.0,52.513,0.975,19.15,22.9,25.561,203.965,3753.9,12145.931,19764869.076,1627.283,0.603,110.078,4,184.17,22.9,25.561,0.801,73.778,0,0,1,5
2,B,7,3,77.107,67706.063,0.924,30,197923.728,76.262,113281.343,1.365,131438.657,97,291912.586,0.606,3524.0,41.612,1.53,15.405,30.77,32.779,83.551,3493.841,13794.479,29128160.253,2111.581,0.52,157.489,6,225.888,30.77,32.779,0.934,74.558,0,2,1,5
3,B,7,4,13.203,4608.378,0.662,2,31616.783,352.265,728165.801,1.368,44358.549,32,611548.982,0.874,3386.5,50.937,0.962,17.046,21.116,21.878,180.41,3389.769,9229.676,13166012.359,1426.487,0.645,76.101,2,166.662,21.116,21.878,1.233,68.539,0,0,1,5
4,B,7,5,4.648,2549.623,0.698,2,5860.269,436.977,793595.766,1.356,76457.497,56,350793.281,0.781,2796.0,44.707,1.172,17.305,15.893,15.6,124.217,2824.039,9537.969,11483063.779,1203.932,0.394,114.689,4,196.029,15.893,15.6,1.255,81.758,0,2,1,5
5,B,7,1,135.096,74151.522,0.875,43,257247.737,710.973,2635109.074,1.221,41047.134,21,872893.657,0.939,3604.0,57.054,0.976,19.779,28.514,29.803,243.152,3589.904,14103.272,25008755.784,1773.259,0.557,106.684,3,200.014,28.514,29.803,0.86,70.354,0,1,2,5
6,B,7,2,143.441,79878.388,0.728,36,333235.819,530.985,1833856.753,1.359,41607.164,22,445375.866,0.836,2988.0,47.487,1.091,17.733,15.634,16.503,150.095,2967.286,10822.948,15665147.275,1447.401,0.364,120.244,3,223.636,15.634,16.503,1.171,100.953,0,1,2,5
7,B,7,3,62.742,35789.441,0.952,43,51996.904,168.474,398118.11,1.022,273909.68,127,596289.849,0.928,3019.5,51.693,1.022,18.277,13.975,11.05,197.31,3022.089,7954.106,16627707.023,2090.456,0.253,191.848,4,322.335,13.975,11.05,0.753,121.221,0,2,2,5
8,B,7,4,3.591,2529.354,0.956,3,3117.78,185.058,402423.027,1.226,140977.768,75,475516.623,0.697,2821.0,55.005,1.102,18.345,20.311,20.75,167.841,2833.143,7884.959,16745509.817,2123.728,0.425,150.013,4,250.702,20.311,20.75,0.927,95.029,0,2,2,5
9,B,7,5,23.238,22879.221,1.014,20,26771.375,100.873,250557.666,1.172,85039.695,44,466606.915,0.714,3496.0,48.775,1.379,20.243,11.844,10.156,135.096,3453.881,9557.604,11902442.302,1245.337,0.294,136.188,4,230.714,11.844,10.156,1.127,96.391,0,0,2,5
10,B,7,1,20.28,10441.734,0.832,9,23991.705,693.122,1570829.13,1.255,34828.341,24,488069.287,0.79,2858.0,52.312,1.073,19.071,26.426,24.938,171.96,2838.271,6472.81,15155595.654,2341.424,0.465,151.219,4,251.532,26.426,24.938,0.986,93.712,0,2,3,5
11,B,7,2,2.852,1957.389,0.893,2,2794.14,350.363,600044.768,1.314,52395.767,37,724560.977,0.849,3167.0,58.422,1.072,22.203,24.13,25.894,230.583,3142.302,12251.835,15176139.074,1238.683,0.761,95.781,4,142.973,24.13,25.894,0.776,53.86,0,0,3,5
12,B,7,3,318.359,204293.392,0.834,74,1125999.881,701.044,1987505.725,1.138,114746.246,71,545381.532,0.928,3289.5,47.407,0.982,16.656,23.957,29.197,166.045,3284.541,10729.784,19713498.22,1837.269,0.569,147.685,5,201.466,23.957,29.197,0.692,76.644,0,1,3,5
13,B,7,4,235.547,131733.201,0.922,107,317556.503,554.223,1524864.56,0.997,168802.796,91,748514.551,0.873,3681.5,54.164,1.037,19.254,17.801,17.927,203.859,3671.721,8614.808,15207130.759,1765.231,0.374,137.948,4,243.597,17.801,17.927,1.192,96.694,0,2,3,5
14,B,7,5,0.951,934.222,0.965,1,888.108,319.309,598237.497,1.415,98277.777,71,449070.05,0.456,2742.0,67.183,1.278,17.732,21.726,20.898,163.827,2741.126,9086.577,15579215.19,1714.531,0.547,110.047,3,198.54,21.726,20.898,0.858,81.116,0,1,3,5
15,B,7,1,2.007,4961.889,1.306,5,2019.475,318.992,440272.729,1.326,106429.243,90,327443.679,0.825,2671.0,43.158,1.103,17.305,20.832,20.387,122.21,2679.354,9210.726,11147460.024,1210.269,0.652,62.884,2,152.769,20.832,20.387,0.817,60.19,0,0,4,5
16,B,7,2,139.321,222254.105,0.93,54,626475.075,876.384,1817971.571,1.373,54899.835,46,316891.055,0.71,2731.0,45.226,1.228,17.078,23.675,25.561,115.555,2742.328,11277.033,18577245.8,1647.352,0.659,90.879,3,177.252,23.675,25.561,0.942,67.714,0,1,4,5
17,B,7,3,216.323,178936.599,0.78,63,748723.481,817.339,2028441.625,1.342,71898.873,59,372860.787,0.685,2848.0,48.943,1.407,19.458,25.241,26.146,130.554,2855.979,8461.55,22663189.141,2678.373,0.311,256.731,9,329.095,25.241,26.146,0.905,89.633,0,3,4,5
18,B,7,4,7.711,7444.316,0.969,7,8249.647,575.137,890893.483,1.326,99884.325,83,471558.161,0.794,3198.0,48.198,1.171,19.366,11.871,12.067,146.715,3214.103,9070.529,15698288.461,1730.692,0.218,155.791,2,315.912,11.871,12.067,1.002,142.084,0,0,4,5
19,B,7,5,2.535,2131.911,0.957,2,2736.362,508.592,832663.449,1.387,56729.476,48,440762.414,0.838,2963.0,47.519,1.09,18.154,15.479,15.045,150.518,2928.306,11590.554,15029146.373,1296.672,0.441,96.363,3,192.139,15.479,15.045,1.074,86.321,0,1,4,5
20,B,7,6,243.258,226390.838,0.855,56,1243489.915,475.003,1159514.351,1.079,54743.623,38,544068.277,0.931,3057.0,49.066,1.018,17.429,17.289,17.229,178.298,3051.46,8074.694,13444299.116,1664.992,0.389,117.907,3,231.77,17.289,17.229,1.065,99.448,0,1,4,5
21,B,7,7,19.118,10971.455,0.955,12,18556.69,337.477,499940.342,1.206,114660.678,93,549338.093,0.783,2850.0,55.722,1.007,17.516,22.753,19.562,193.508,2838.841,6595.703,14053460.515,2130.699,0.447,179.641,5,244.794,22.753,19.562,0.867,86.291,0,3,4,5
22,B,7,8,122.949,83710.206,0.952,54,226988.467,529.612,1417898.842,1.078,75310.109,51,285547.528,0.726,3139.5,39.665,1.175,14.535,25.636,9.665,90.839,3143.451,11097.478,12012590.233,1082.461,0.544,127.728,6,158.058,25.636,9.665,1.076,51.547,1,2,4,5
23,B,7,9,72.671,53315.022,0.927,40,102813.643,548.308,1575445.645,1.139,62954.642,44,922271.233,0.797,3937.0,60.855,1.189,23.987,12.044,12.369,234.914,3926.003,16250.149,18036432.407,1109.924,0.332,99.932,2,204.844,12.044,12.369,0.999,95.172,0,0,4,5
24,B,7,10,55.243,45045.898,0.94,30,92074.377,579.362,1454833.606,1.04,22815.041,16,536910.914,0.769,3184.0,52.195,1.049,17.516,15.504,15.405,166.679,3221.232,14663.481,16120466.722,1099.361,0.501,95.668,3,165.987,15.504,15.405,0.936,59.347,0,1,4,5
25,B,7,11,24.294,20722.606,0.992,20,25242.219,546.512,1184214.178,1.215,53833.647,41,628250.446,0.862,3665.5,49.632,1.001,17.275,18.272,20.453,169.003,3717.403,10798.46,16333456.287,1512.573,0.417,119.676,4,213.598,18.272,20.453,0.839,77.676,0,0,4,5
26,B,7,12,115.344,46541.612,0.88,28,208082.787,1061.019,2213310.751,1.383,59795.76,50,440847.655,0.625,3046.5,53.778,1.144,17.608,19.836,20.424,143.863,3064.349,11149.833,26380900.252,2366.035,0.359,222.099,8,287.952,19.836,20.424,1.209,106.394,0,4,4,5
27,B,7,13,29.153,14036.463,0.893,15,27423.724,280.016,397038.289,1.133,106251.86,86,421066.964,0.693,2534.0,54.769,1.278,20.285,19.723,19.977,165.306,2547.203,6937.028,10978562.165,1582.603,0.488,126.971,4,201.842,19.723,19.977,0.855,75.568,0,0,4,5
28,B,7,1,37.497,31224.892,0.97,29,39465.578,564.046,776065.873,1.17,101385.833,99,602815.353,0.325,2752.5,92.229,1.713,20.323,19.14,18.281,219.703,2743.77,8308.833,18351320.359,2208.652,0.323,225.939,8,293.191,19.14,18.281,0.722,107.024,0,4,5,5
29,B,7,2,6.549,3600.092,0.88,3,7964.878,2030.037,3013242.634,1.336,170129.771,178,241969.168,0.472,2627.0,49.569,1.65,17.046,21.573,22.388,92.212,2624.053,9344.814,35547019.235,3803.93,0.277,244.09,5,415.282,21.573,22.388,0.862,154.428,0,1,5,5
30,B,7,3,3.274,2482.69,0.765,2,4043.597,163.51,171351.565,1.306,129406.374,136,301856.167,0.848,2668.0,40.872,1.055,15.624,16.313,17.488,112.704,2678.32,5826.717,7363318.769,1263.716,0.534,81.881,2,172.505,16.313,17.488,1.825,79.341,0,0,5,5
31,B,7,4,56.405,48011.708,0.985,38,73490.013,1420.783,2769141.499,1.183,77319.556,76,970732.605,0.812,3677.0,63.632,1.119,24.289,24.877,27.047,261.531,3711.725,14421.971,29571144.945,2050.423,0.452,151.548,5,238.673,24.877,27.047,0.951,99.541,0,1,5,5
32,B,7,5,7.605,6091.481,0.936,6,7887.982,681.08,963537.956,1.372,66965.544,69,427369.28,0.631,2739.0,55.625,1.258,18.272,19.992,13.205,155.482,2748.668,9837.919,15102945.238,1535.177,0.333,143.71,4,240.743,19.992,13.205,0.976,71.027,0,2,5,5
33,B,7,6,69.502,56651.989,0.959,51,77711.063,938.492,1316290.081,1.226,127680.521,129,345886.82,0.626,3209.0,46.4,1.156,15.094,18.347,16.72,107.211,3226.226,12425.795,25257640.324,2032.678,0.367,144.157,4,263.989,18.347,16.72,1.104,113.797,0,0,5,5
34,B,7,7,39.504,27573.653,0.937,27,41310.557,548.941,830351.811,1.165,97525.684,92,517646.209,0.76,3109.0,52.472,1.065,16.659,16.335,17.924,166.467,3109.593,9067.695,13545060.646,1493.771,0.375,121.165,3,223.791,16.335,17.924,0.901,95.339,0,1,5,5
35,B,7,8,6.021,4621.833,0.977,5,5550.783,29.892,35251.394,1.239,63304.587,61,350614.032,0.82,3364.0,39.919,1.115,14.366,21.606,24.008,104.042,3369.922,9956.616,10057247.486,1010.107,0.54,117.74,5,153.347,21.606,24.008,1.24,57.918,0,3,5,5
36,B,7,9,124.217,82397.231,0.944,80,128672.298,843.323,1548904.431,1.167,51827.206,47,914348.289,0.824,3931.0,59.606,1.183,24.2,24.223,25.948,233.012,3924.035,11503.573,16418203.347,1427.226,0.656,67.377,2,165.376,24.223,25.948,1.287,63.314,0,0,5,5
37,B,7,10,47.954,28127.961,0.968,31,43655.784,524.33,736557.411,1.21,90252.864,89,682352.805,0.941,3283.0,52.711,1.0,18.688,26.689,26.689,207.979,3280.878,9001.0,13436877.898,1492.821,0.507,132.134,5,192.386,26.689,26.689,1.144,69.959,0,3,5,5
38,B,7,11,2.958,1798.93,0.916,2,2799.421,552.427,855067.375,1.307,83230.178,84,500336.336,0.892,3316.0,46.141,1.033,16.589,17.086,14.181,151.152,3310.161,8888.734,12775430.706,1437.261,0.34,134.611,4,230.432,17.086,14.181,0.927,81.074,0,2,5,5
39,B,7,12,3.697,4145.319,0.927,2,7747.287,771.708,966845.758,1.349,112832.352,118,295662.541,0.894,2594.0,39.996,0.982,13.792,20.862,20.684,113.76,2599.006,5671.247,12364071.776,2180.133,0.316,141.561,2,294.664,20.862,20.684,1.48,127.651,0,0,5,5
40,B,7,1,0.951,1135.889,0.965,1,1079.821,775.088,1171682.217,1.243,49106.195,49,718031.775,0.9,3322.0,55.207,1.015,21.076,19.366,19.5,218.33,3288.743,9924.543,11231438.334,1131.683,0.599,118.163,6,154.089,19.366,19.5,1.081,60.122,0,0,6,5
41,B,7,2,3.169,1988.889,0.952,2,3035.286,687.84,962780.824,1.344,84915.319,86,600618.426,0.891,3345.0,50.451,1.013,18.153,30.566,18.818,180.516,3327.234,11505.203,14702158.155,1277.87,0.58,120.784,5,166.359,30.566,18.818,0.697,62.579,0,1,6,5
42,B,7,3,52.074,32766.923,0.962,34,53709.745,254.983,357337.587,1.061,86638.852,74,489921.343,0.901,2737.0,49.734,1.043,18.682,14.646,14.646,177.347,2762.501,8675.54,9301132.045,1072.11,0.496,106.998,4,164.873,14.646,14.646,0.939,72.322,0,0,6,5
43,B,7,4,44.786,24170.998,0.948,25,44127.407,536.794,717295.347,1.278,71895.088,71,771473.757,0.896,3677.0,54.554,1.067,20.645,28.854,29.733,212.098,3637.343,7481.961,15903876.665,2125.629,0.492,180.079,6,233.031,28.854,29.733,1.038,69.622,0,4,6,5
44,B,7,5,38.026,23497.121,0.995,18,48160.652,489.157,1066922.193,1.143,59012.45,53,692397.682,0.954,4178.5,46.832,0.978,16.858,12.753,12.862,166.467,4159.357,10244.185,14037542.377,1370.294,0.323,112.177,2,230.951,12.753,12.862,1.843,107.6,0,0,6,5
45,B,7,6,194.353,132805.533,0.931,88,311340.273,977.046,3440711.203,1.252,22425.869,19,601956.926,0.942,3005.5,51.776,1.021,18.688,17.991,17.67,200.902,2996.275,10317.956,17353688.466,1681.892,0.407,104.795,2,227.99,17.991,17.67,1.287,97.693,0,0,6,5
46,B,7,7,46.581,32616.898,0.938,32,48057.772,562.145,802181.412,1.167,112116.975,103,567564.91,0.86,3106.0,51.434,1.044,18.331,18.954,18.842,181.15,3133.128,9327.118,14481331.204,1552.605,0.499,142.371,5,197.808,18.954,18.842,0.902,67.19,0,1,6,5
