,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,50.067,21304.308,0.968,33,39593.069,150.94,796181.928,1.001,167755.17,43,531741.654,0.894,2690.0,53.364,0.912,19.86,20.077,18.228,202.697,2623.327,2955.668,3881547.239,1313.255,0.551,115.675,4,173.021,20.077,18.228,1.051,60.704,0,2,1,1
1,B,3,2,23.66,9133.264,0.967,14,15598.511,165.094,781801.185,0.958,217581.002,56,593134.36,0.716,2454.0,64.29,1.25,25.656,18.896,20.089,235.547,2518.112,3894.852,4080264.75,1047.604,0.526,89.202,4,158.268,18.896,20.089,0.834,56.645,0,2,1,1
2,B,3,3,261.003,126411.953,0.847,65,657566.682,450.075,2712306.369,1.037,189967.696,47,426432.161,0.929,1670.0,59.166,0.986,21.752,29.437,30.039,258.68,1648.496,4031.259,6079263.175,1508.031,0.745,113.415,5,159.467,29.437,30.039,0.77,53.156,0,1,1,1
3,B,3,4,8.556,2288.41,1.105,3,7597.931,123.9,503888.241,1.071,44123.093,13,375488.67,0.868,1789.5,55.717,0.988,21.174,16.403,17.805,214.422,1751.167,3414.527,3506382.947,1026.902,0.548,98.057,4,153.46,16.403,17.805,0.845,66.369,0,0,1,1
4,B,3,5,6.866,5162.738,1.061,7,4810.763,83.022,299135.543,1.114,88108.122,27,335410.987,0.853,1491.0,58.337,1.001,22.898,13.09,13.597,231.005,1451.962,3072.982,3855787.872,1254.738,0.366,102.711,2,207.688,13.09,13.597,1.192,95.627,0,0,1,1
5,B,3,1,36.124,18057.641,0.972,27,24250.491,164.777,788758.174,1.03,155116.399,40,289983.211,0.858,1776.0,47.545,0.919,17.86,20.991,20.323,154.32,1879.098,4036.057,4197923.47,1040.105,0.697,73.506,3,136.963,20.991,20.323,0.827,51.088,0,1,2,1
6,B,3,2,198.789,81745.204,0.906,96,176654.019,523.485,4223816.243,1.029,203241.855,43,604456.791,0.638,2463.0,67.05,1.269,26.465,24.062,25.846,228.259,2648.118,6015.468,8678202.749,1442.648,0.663,88.978,3,165.347,24.062,25.846,0.825,65.356,0,1,2,1
7,B,3,3,65.172,21718.865,0.889,25,61540.266,603.55,3111454.549,1.202,90090.495,26,393356.041,0.939,1660.0,56.208,0.91,19.36,25.256,27.137,235.97,1666.976,4695.995,7392214.189,1574.153,0.643,95.929,3,175.455,25.256,27.137,0.868,72.036,0,1,2,1
8,B,3,1,148.088,58400.664,0.932,61,174521.735,448.49,2752519.255,0.964,214935.971,54,409650.632,0.904,1654.0,58.325,0.981,22.321,16.913,13.363,244.737,1673.842,3688.29,6908836.941,1873.182,0.359,141.253,3,256.143,16.913,13.363,0.899,109.231,0,1,3,1
9,B,3,2,97.282,42678.01,0.921,54,81803.776,478.805,3283229.254,1.013,132103.78,30,304658.546,0.944,1594.0,50.468,0.907,16.796,26.142,26.903,191.29,1592.655,4624.199,6274479.06,1356.879,0.727,87.108,3,153.163,26.142,26.903,0.869,57.581,0,1,3,1
10,B,3,3,171.96,69222.153,0.899,84,145746.202,571.334,3851623.122,1.043,162151.707,37,355468.313,0.778,1600.5,59.066,1.085,21.726,21.647,26.344,216.112,1644.834,5572.761,9436354.67,1693.3,0.586,120.308,4,190.513,21.647,26.344,0.972,75.671,0,2,3,1
11,B,3,4,9.823,5857.368,1.067,6,10442.772,617.176,3600181.256,1.292,81053.281,22,314160.08,0.778,1270.0,63.933,1.126,24.547,23.527,24.678,253.187,1240.823,3645.951,6384342.96,1751.078,0.494,136.752,4,210.979,23.527,24.678,0.856,88.909,0,0,3,1
12,B,3,1,37.075,17534.542,0.95,26,25284.047,390.924,1573457.225,1.017,175858.111,53,591952.504,0.792,1967.0,69.737,1.096,27.581,30.392,35.223,306.528,1931.151,3472.54,5853642.573,1685.695,0.703,151.014,6,173.529,30.392,35.223,0.818,67.642,0,0,4,1
13,B,3,2,247.061,148842.653,0.883,76,667552.303,357.546,2122945.73,0.971,204681.057,53,303650.657,0.802,1612.0,54.983,1.141,21.557,16.065,19.178,192.98,1573.484,3007.879,3929144.162,1306.284,0.427,128.559,5,196.169,16.065,19.178,0.911,80.981,0,3,4,1
14,B,3,3,260.898,140120.812,0.905,88,637909.152,695.762,4267417.418,1.127,205520.927,59,349406.404,0.771,1472.5,61.077,1.088,22.766,27.783,29.022,228.998,1525.803,4904.471,8932089.237,1821.214,0.702,123.692,4,180.585,27.783,29.022,0.886,59.383,0,0,4,1
15,B,3,4,20.914,7207.736,0.913,12,13583.473,252.448,1218843.748,1.15,147891.571,47,535348.274,0.879,1940.0,62.805,0.957,22.91,12.481,9.704,275.897,1940.394,3578.794,4761108.996,1330.367,0.514,126.676,5,180.361,12.481,9.704,1.049,63.325,1,1,4,1
16,B,3,5,71.087,25077.517,0.957,32,59970.55,337.054,1368447.432,1.015,40388.16,13,293633.56,0.864,1496.0,53.906,1.008,21.021,19.517,21.875,199.845,1469.303,4101.109,4243057.921,1034.612,0.622,105.235,5,144.562,19.517,21.875,0.886,54.84,0,1,4,1
17,B,3,6,71.509,16384.994,0.999,14,102018.697,173.228,808474.538,1.322,45158.287,16,298392.249,0.905,1451.5,54.582,0.969,20.332,24.555,28.803,214.633,1390.243,3130.52,3815887.747,1218.931,0.623,133.997,6,156.749,24.555,28.803,0.945,51.878,0,0,4,1
18,B,3,1,101.718,32092.732,0.916,46,72571.062,266.073,1266446.692,0.948,151149.927,45,414723.876,0.74,1561.0,66.446,1.165,25.538,15.933,10.98,260.158,1594.121,4170.319,4957788.865,1188.827,0.397,87.364,2,193.974,15.933,10.98,1.293,82.258,0,0,5,1
19,B,3,2,59.785,33763.465,0.957,36,61402.846,766.955,3673766.438,1.106,98379.254,34,348882.073,0.879,1689.5,54.284,1.056,20.603,20.424,23.421,206.183,1692.098,4771.397,6784160.919,1421.839,0.575,79.983,2,176.236,20.424,23.421,1.027,73.833,0,0,5,1
20,B,3,3,1.901,1388.444,0.965,2,1319.91,269.453,856484.462,1.31,85641.546,35,433618.888,0.866,2165.0,54.454,0.997,20.752,12.921,11.861,204.387,2121.553,3933.28,5098927.741,1296.355,0.295,127.877,3,234.865,12.921,11.861,1.037,100.233,0,1,5,1
21,B,3,4,20.175,7764.038,0.899,10,16392.19,739.492,2963851.326,1.355,112415.355,46,355751.181,0.812,1678.0,57.359,1.133,22.753,23.636,23.195,212.521,1673.96,4719.96,7355654.821,1558.415,0.575,106.186,3,184.583,23.636,23.195,1.186,68.48,0,1,5,1
22,B,3,5,31.477,13803.865,0.884,19,23804.958,374.129,1575442.16,1.192,135957.268,50,346073.885,0.803,1364.0,63.04,1.139,23.936,18.153,16.827,253.926,1362.891,5279.245,6314028.716,1196.01,0.553,100.39,4,164.872,18.153,16.827,0.912,67.462,0,2,5,1
23,B,3,6,13.837,4481.062,0.878,6,10271.868,461.271,2057082.59,1.216,116053.307,46,553607.836,0.865,2060.5,62.472,1.039,24.279,23.765,26.595,268.714,2060.212,4472.929,6081034.956,1359.52,0.676,68.674,2,158.931,23.765,26.595,1.034,64.28,0,0,5,1
24,B,3,1,109.007,38426.43,0.921,51,82885.075,171.221,833039.479,0.991,244140.516,60,314144.236,0.788,2150.5,47.938,1.133,19.86,14.731,16.264,144.075,2180.427,3891.75,4099623.568,1053.414,0.414,97.129,3,178.759,14.731,16.264,0.856,66.045,0,1,6,1
25,B,3,2,23.766,12908.522,0.916,17,18049.682,259.841,1304152.213,1.068,58185.953,18,503044.918,0.78,2585.0,54.775,1.131,21.878,12.063,9.802,186.22,2701.352,3683.761,3731887.677,1013.065,0.353,90.926,2,189.771,12.063,9.802,1.046,83.526,0,0,6,1
26,B,3,3,157.384,70949.909,0.855,42,478423.044,319.098,2001365.94,1.048,106534.355,26,342486.489,0.795,2635.0,45.303,1.141,18.122,9.658,9.773,129.815,2638.264,4465.659,4551830.517,1019.297,0.253,113.565,2,225.121,9.658,9.773,1.21,104.699,0,0,6,1
27,B,3,4,13.098,5987.083,0.946,8,9733.49,308.852,1428390.941,1.003,49125.496,15,374396.808,0.788,2036.0,53.89,1.144,22.466,19.299,20.892,182.206,2054.801,3225.533,4276833.077,1325.931,0.525,104.214,4,178.163,19.299,20.892,0.922,71.822,0,0,6,1
28,B,3,1,367.581,333953.05,0.827,99,1330516.926,900.361,4770303.262,1.03,89972.199,27,301543.724,0.898,1560.0,51.658,0.971,18.539,22.258,22.753,190.762,1580.736,2659.667,5027831.755,1890.399,0.474,132.016,4,223.933,22.258,22.753,0.813,93.765,0,0,7,1
29,B,3,2,13.415,3931.706,0.894,5,11266.026,101.296,362294.537,1.093,73872.631,24,539627.629,0.891,2296.5,58.296,0.937,22.105,19.28,20.862,240.829,2240.712,3260.943,4302772.643,1319.487,0.511,115.495,4,180.106,19.28,20.862,0.858,71.77,0,2,7,1
30,B,3,3,8.45,3219.493,0.91,5,5612.469,174.284,745781.675,1.171,56175.101,18,504418.803,0.893,2652.5,51.151,0.928,19.727,15.893,17.608,185.903,2713.347,3373.809,3685159.216,1092.285,0.501,99.122,4,165.491,15.893,17.608,1.227,67.651,0,0,7,1
31,B,3,4,94.641,42265.604,1.026,35,137878.5,678.228,2755000.529,1.332,259140.554,90,238426.981,0.785,1330.0,53.934,1.064,20.006,21.45,21.935,181.678,1312.362,3683.379,8593228.064,2332.974,0.408,169.962,5,268.089,21.45,21.935,0.828,103.902,0,3,7,1
32,B,3,5,48.588,17472.422,0.838,14,75505.791,340.963,1915585.957,1.055,34886.466,9,278206.269,0.883,1768.0,47.781,0.959,18.455,16.145,17.017,160.447,1733.947,3407.471,4337029.773,1272.8,0.462,102.403,3,186.143,16.145,17.017,0.874,79.842,0,1,7,1
33,B,3,1,344.66,173276.281,0.818,86,1033231.855,292.903,1870184.905,0.963,330647.895,72,316420.594,0.841,1593.0,53.726,1.084,20.518,15.168,16.112,193.085,1638.76,3478.608,4170370.247,1198.862,0.486,84.248,2,176.055,15.168,16.112,1.443,77.14,0,0,8,1
34,B,3,2,558.236,432692.623,0.824,157,1848126.482,838.464,5368574.349,1.015,407918.897,91,265267.752,0.456,1251.0,75.871,1.489,22.105,14.682,10.008,209.035,1269.011,3519.22,7376847.0,2096.16,0.25,217.911,6,324.468,14.682,10.008,0.769,114.583,1,3,8,1
35,B,3,3,84.079,24311.331,0.864,26,81527.562,448.068,2686933.596,0.987,59944.146,13,569629.382,0.815,2442.0,59.378,1.148,23.673,15.988,16.952,228.576,2492.079,5721.992,5935153.235,1037.253,0.543,72.239,2,154.979,15.988,16.952,1.029,63.962,0,0,8,1
36,B,3,4,24.611,8510.575,0.846,11,18898.603,361.665,1887214.551,1.224,48677.582,13,498100.432,0.784,2272.0,59.908,1.143,23.631,13.039,10.304,224.034,2223.325,4125.47,4976807.354,1206.361,0.334,116.847,3,213.172,13.039,10.304,0.903,93.468,0,1,8,1
37,B,3,1,187.382,91662.056,0.98,46,378799.641,396.311,1938740.255,1.094,50318.393,14,272511.201,0.737,1320.0,59.306,1.231,24.727,11.036,9.957,206.289,1321.018,2809.917,4426207.235,1575.209,0.216,151.512,2,302.632,11.036,9.957,1.52,139.175,0,0,9,1
38,B,3,1,179.143,78213.287,0.882,67,321699.389,219.703,1483697.655,0.999,288893.635,56,309942.41,0.766,1613.0,55.472,1.193,21.74,17.616,17.814,187.487,1653.139,3756.911,4390919.929,1168.758,0.556,73.427,2,162.541,17.616,17.814,0.998,67.119,0,0,10,1
39,B,3,2,216.957,89101.66,0.911,88,243164.439,222.766,1311018.786,0.999,535397.616,109,390050.457,0.725,2026.5,57.025,1.168,21.62,18.552,19.836,187.593,2079.24,4043.926,6409327.767,1584.927,0.381,171.248,7,228.737,18.552,19.836,0.761,80.92,0,3,10,1
40,B,3,3,189.494,80991.417,0.913,92,174037.754,437.188,3395426.023,0.934,288086.78,52,628061.797,0.477,2405.0,78.129,1.587,25.644,14.171,13.549,231.85,2708.91,5053.56,7672167.945,1518.171,0.522,156.381,7,191.125,14.171,13.549,0.746,70.842,0,1,10,1
41,B,3,4,65.594,23358.887,0.913,19,88129.963,269.665,1636251.49,1.085,37954.11,8,443346.568,0.956,2616.0,46.138,0.844,15.802,12.168,11.614,161.926,2737.965,4070.232,4197354.882,1031.232,0.341,95.551,2,194.98,12.168,11.614,1.016,82.94,0,0,10,1
42,B,3,1,102.352,47210.799,0.919,51,101283.008,356.807,2240521.321,0.902,116973.809,26,506574.219,0.802,2677.5,53.829,1.11,21.502,12.648,13.098,184.847,2740.513,4761.056,5475007.92,1149.957,0.3,107.511,2,219.344,12.648,13.098,1.392,101.288,0,0,11,1
43,B,3,2,13.52,5317.714,0.929,7,10228.773,153.264,716271.086,0.821,34147.911,9,544184.994,0.929,2788.0,51.729,0.918,19.062,19.15,19.671,197.839,2750.651,3653.079,3661060.933,1002.185,0.622,59.521,2,142.245,19.15,19.671,0.849,60.204,0,0,11,1
44,B,3,3,94.008,37533.202,0.932,41,90662.783,368.32,2292758.315,1.004,160044.848,37,456139.955,0.842,1967.0,58.484,1.006,21.188,26.672,27.449,229.21,1990.055,4218.318,5950095.911,1410.537,0.648,106.438,4,165.37,26.672,27.449,0.694,61.231,0,0,11,1
45,B,3,4,6.338,3931.215,1.043,5,4947.444,394.832,1811137.32,1.265,93734.557,28,478203.236,0.911,2019.0,57.874,0.979,22.105,23.156,27.3,242.73,1970.104,3892.002,6300500.697,1618.833,0.633,78.132,2,179.251,23.156,27.3,1.173,72.328,0,0,11,1
46,B,3,5,126.224,83315.361,1.009,32,408917.161,521.056,2565794.269,1.256,28127.045,8,332528.86,0.893,1678.0,53.775,0.99,20.699,20.387,22.63,205.444,1618.589,3723.934,5254714.595,1411.066,0.576,97.083,3,175.483,20.387,22.63,0.912,67.295,0,1,11,1
47,B,3,6,139.533,51370.227,1.026,40,206984.27,318.359,1529952.17,1.203,118940.137,36,322568.59,0.906,1335.5,58.564,0.989,21.382,25.608,25.189,247.166,1305.068,4165.05,7620200.933,1829.558,0.564,158.625,5,201.828,25.608,25.189,0.66,68.981,1,1,11,1
48,B,3,1,125.168,38747.291,0.839,33,267051.151,209.88,1187953.781,1.073,144470.293,40,363984.668,0.827,2400.5,46.746,1.02,18.022,15.706,16.628,143.863,2530.071,3381.792,3842120.532,1136.12,0.5,107.046,4,168.967,15.706,16.628,0.765,71.445,0,0,12,1
49,B,3,2,112.175,49162.86,0.911,55,102719.952,325.224,1828654.01,0.98,86348.874,21,539414.158,0.772,2368.0,59.682,1.111,22.68,24.731,26.659,218.753,2465.863,4616.135,6388358.672,1383.92,0.724,114.78,5,154.95,24.731,26.659,0.983,59.887,0,1,12,1
