,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,35.913,23052.042,0.917,18,46233.39,300.93,1946053.523,0.894,81034.427,22,302253.64,0.784,2020.5,48.442,1.131,19.409,9.685,10.427,146.398,2064.596,20513.548,21576755.077,1051.83,0.222,122.558,2,244.024,9.685,10.427,1.127,113.829,0,0,1,1
1,B,3,2,30.949,20409.555,0.977,15,45324.684,299.134,1504110.943,0.955,92581.376,29,274910.192,0.798,1759.0,50.607,1.136,20.448,10.538,11.302,162.665,1690.04,17929.076,22106176.432,1232.979,0.235,150.921,5,256.522,10.538,11.302,1.36,115.828,0,1,1,1
2,B,3,3,8.345,4786.087,0.883,4,9937.138,512.711,2438020.325,1.009,209667.052,69,533817.217,0.81,2286.0,59.982,1.151,23.214,14.998,15.246,231.85,2302.421,13168.286,32397332.721,2460.254,0.25,175.833,2,351.316,14.998,15.246,1.032,155.544,0,0,1,1
3,B,3,4,3.697,2775.912,1.157,2,5085.709,195.62,989036.741,1.089,47962.172,16,436060.552,0.779,2407.0,54.852,1.155,22.295,8.409,6.421,186.431,2338.993,12689.389,12836406.082,1011.586,0.178,142.731,4,267.546,8.409,6.421,1.376,119.711,0,2,1,1
4,B,3,1,10.668,6288.514,0.881,6,10835.281,169.214,592027.288,1.078,62585.238,28,459161.403,0.809,2258.0,57.781,1.117,23.467,15.621,17.225,215.056,2135.081,12004.277,12438793.712,1036.197,0.474,96.432,4,165.754,15.621,17.225,1.287,65.644,0,2,2,1
5,B,3,2,35.068,22904.527,0.9,18,47642.448,388.389,1208971.781,0.972,77218.65,33,276313.863,0.78,1772.0,48.804,1.089,19.651,13.322,5.89,147.877,1868.536,17211.597,17810967.287,1034.824,0.533,113.813,5,156.196,13.322,5.89,1.077,58.093,0,1,2,1
6,B,3,3,36.969,15976.969,0.873,16,37004.267,291.741,1378030.827,0.872,70617.741,27,316442.248,0.771,1687.0,55.81,1.209,22.66,9.854,7.823,191.078,1656.085,15331.277,20104732.012,1311.354,0.194,162.322,4,291.574,9.854,7.823,1.162,135.106,0,0,2,1
7,B,3,4,19.013,15917.685,0.96,15,20437.899,208.19,692131.081,0.949,263857.15,92,339741.043,0.929,1884.0,49.103,1.02,18.507,21.321,21.321,178.298,1905.471,8654.576,10574925.805,1221.888,0.605,106.739,5,159.375,21.321,21.321,0.966,63.046,0,1,2,1
8,B,3,5,53.447,36833.286,0.911,27,74665.742,376.559,2498635.302,0.955,117915.499,36,507670.095,0.746,2475.0,58.787,1.246,24.474,10.1,9.006,205.232,2473.635,24446.678,26395443.448,1079.715,0.256,117.14,2,230.117,10.1,9.006,1.113,108.384,0,0,2,1
9,B,3,6,4.648,5722.889,0.928,4,6751.018,293.219,964977.223,1.183,29447.775,13,298009.881,0.757,2236.0,47.288,1.156,19.785,11.877,12.865,134.674,2212.826,18127.402,18212964.744,1004.72,0.378,90.054,2,182.759,11.877,12.865,1.134,84.001,0,0,2,1
10,B,3,1,4.753,2720.889,0.928,2,6713.943,342.653,851419.35,1.034,81120.724,40,291215.239,0.819,1562.0,54.955,1.06,21.382,15.275,12.869,196.888,1479.091,16428.361,28513984.021,1735.656,0.317,169.03,5,262.439,15.275,12.869,0.897,103.695,0,1,3,1
11,B,3,2,2.535,2307.178,0.957,2,2894.697,357.018,997163.017,1.073,83699.615,40,492174.569,0.789,2034.5,63.316,1.158,25.561,17.701,16.004,251.814,1954.518,14039.471,20678134.692,1472.857,0.438,115.256,3,205.673,17.701,16.004,1.144,82.249,0,1,3,1
12,B,3,3,36.019,36997.107,0.984,25,51458.843,343.498,1772316.804,0.916,27801.245,10,669444.497,0.731,3096.0,60.445,1.11,22.345,14.201,11.719,212.626,3148.456,17250.845,19901498.224,1153.654,0.417,88.665,2,186.411,14.201,11.719,1.038,82.156,0,0,3,1
13,B,3,4,73.199,64093.986,0.966,45,106079.089,402.543,1461359.745,1.013,127041.245,53,389025.034,0.815,1601.0,60.649,1.185,24.109,12.569,10.912,238.61,1630.377,13013.275,19610673.486,1506.974,0.283,155.556,5,258.746,12.569,10.912,0.961,89.479,0,3,3,1
14,B,3,5,18.485,14369.21,0.879,10,28337.711,587.495,2547457.81,0.922,60826.304,22,530114.16,0.774,2015.0,64.869,1.186,24.616,18.272,21.478,259.208,2045.133,13430.541,24593234.004,1831.142,0.344,168.246,5,258.749,18.272,21.478,1.198,108.561,0,3,3,1
15,B,3,6,2.852,4834.083,1.115,4,3379.417,269.876,762918.849,1.17,55173.278,27,349728.353,0.934,2158.5,46.045,0.948,16.983,7.064,6.177,157.595,2219.161,12929.357,16392303.181,1267.836,0.263,169.5,6,246.178,7.064,6.177,0.947,83.662,0,4,3,1
