,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,20.914,8882.053,0.967,18,10697.438,678.017,1488267.061,1.044,141531.437,86,289303.715,0.828,1341.0,56.74,1.005,19.054,14.629,13.589,212.098,1364.008,10203.478,23078044.206,2261.782,0.221,194.528,4,358.344,14.629,13.589,0.997,160.474,0,2,1,0
1,B,2,2,182.1,68335.126,0.948,90,163148.287,817.655,2588599.893,1.029,221167.999,106,342628.134,0.942,1253.0,60.33,1.005,21.531,15.9,14.201,272.833,1255.814,15169.397,33797137.095,2227.982,0.263,202.317,5,326.553,15.9,14.201,0.885,109.24,0,3,1,0
2,B,2,3,0.951,406.0,0.965,1,385.96,354.377,712952.51,1.178,57696.304,41,301747.161,0.92,1515.0,53.052,0.966,19.366,15.688,17.229,206.077,1464.241,9683.792,13741179.849,1418.988,0.432,97.517,2,203.121,15.688,17.229,1.004,90.026,0,0,1,0
3,B,2,4,54.186,19273.253,0.98,35,30009.252,725.232,1410972.906,1.068,141812.151,94,297792.712,0.816,1246.0,61.322,1.075,22.754,17.701,16.656,244.314,1218.892,14098.499,25350247.799,1798.081,0.386,149.197,4,241.947,17.701,16.656,0.963,83.607,0,2,1,0
4,B,2,5,180.516,78590.73,0.944,70,239057.994,1285.264,3516225.444,1.02,55543.411,31,626796.391,0.82,1965.0,70.522,1.056,26.15,24.401,24.82,324.485,1931.666,15886.024,19721374.266,1241.429,0.637,99.98,4,156.541,24.401,24.82,1.217,58.175,0,2,1,0
5,B,2,6,119.781,44360.053,0.952,72,74318.759,544.083,1649977.981,0.955,197994.031,94,329760.387,0.94,1742.0,50.409,0.976,18.026,15.812,13.921,190.128,1734.414,11916.962,20184024.199,1693.722,0.364,131.414,3,241.967,15.812,13.921,1.227,109.496,0,1,1,0
6,B,2,7,110.274,44747.19,0.931,63,76192.68,53.87,97171.916,1.075,102273.615,64,193481.918,0.966,1371.0,41.606,0.841,14.119,9.966,8.282,133.089,1453.773,12609.535,17650367.452,1399.763,0.418,152.806,6,205.255,9.966,8.282,1.09,66.369,0,4,1,0
7,B,2,8,59.573,25736.92,0.944,43,35309.383,713.085,1546392.42,1.036,110858.313,65,325533.0,0.898,1399.0,57.437,1.003,21.935,22.189,18.308,235.653,1381.409,10280.548,17835894.316,1734.917,0.413,155.874,6,229.81,22.189,18.308,0.859,66.473,0,2,1,0
8,B,2,9,29.047,12378.96,0.998,24,15444.93,247.377,536894.964,0.979,171715.729,94,313481.218,0.55,1272.0,74.936,1.275,25.246,21.166,21.574,245.687,1275.935,12497.151,14456983.643,1156.822,0.479,108.214,4,174.297,21.166,21.574,1.109,60.919,0,2,1,0
9,B,2,10,1.901,891.0,0.965,2,847.02,697.875,1256531.207,1.367,102538.039,76,408761.995,0.868,1771.5,58.653,1.027,22.338,20.387,20.674,237.66,1719.946,12323.988,24147290.817,1959.373,0.453,137.746,4,233.13,20.387,20.674,1.121,87.129,0,2,1,0
10,B,2,11,213.999,59494.809,0.874,60,284121.675,789.347,2259606.883,1.113,125013.679,75,323531.27,0.871,1352.0,57.722,0.998,21.275,22.406,22.604,230.9,1401.177,12542.674,24569155.051,1958.845,0.368,171.304,5,258.526,22.406,22.604,0.65,84.319,1,1,1,0
11,B,2,12,1.901,825.111,0.965,2,784.383,606.613,1439334.278,1.367,69420.33,51,294632.471,0.842,1532.5,53.731,1.013,20.575,10.578,9.802,193.508,1522.586,9818.586,18164871.376,1850.05,0.171,189.853,2,368.93,10.578,9.802,1.235,176.347,0,0,1,0
12,B,2,13,2.852,1392.222,0.965,3,1323.501,271.883,587378.134,0.988,27431.076,17,366831.727,0.922,2269.0,46.722,0.918,17.733,17.773,21.009,160.236,2289.328,13422.989,13638053.34,1016.022,0.644,77.583,3,140.803,17.773,21.009,0.93,58.995,0,1,1,0
13,B,2,14,9.506,3822.222,0.965,10,3633.555,1055.421,1652913.978,1.343,536044.912,400,195434.637,0.454,1242.0,66.188,1.733,20.167,17.102,15.168,158.229,1235.141,8340.255,63958925.831,7668.701,0.102,651.861,12,969.859,17.102,15.168,0.796,273.303,0,4,1,0
14,B,2,15,20.28,6694.814,0.948,15,9381.542,487.572,1089990.617,1.022,217729.698,127,388259.347,0.78,1672.0,60.442,1.074,21.514,14.682,12.675,226.78,1712.051,8640.192,22703595.006,2627.673,0.214,210.002,3,393.244,14.682,12.675,0.922,176.238,0,1,1,0
15,B,2,16,1.901,1013.0,0.965,2,962.998,395.043,848757.771,1.388,31882.926,23,375542.434,0.94,2077.0,49.392,0.899,17.616,15.884,14.011,182.417,2058.702,14319.726,14978720.347,1046.02,0.528,74.807,2,157.719,15.884,14.011,1.083,66.256,0,0,1,0
16,B,2,17,5.704,3271.778,0.965,6,3110.28,648.442,1570801.773,1.13,29128.603,20,284796.629,0.85,1471.0,54.218,1.104,21.477,17.339,15.632,198.895,1431.895,13093.512,18195049.313,1389.623,0.444,116.983,4,198.322,17.339,15.632,0.799,83.382,0,0,1,0
17,B,2,18,5.704,3033.111,0.965,6,2883.395,545.033,1370999.371,1.403,97568.911,72,262824.926,0.782,1414.0,54.303,1.075,21.123,17.0,18.245,183.579,1431.672,13701.047,20454650.704,1492.926,0.456,118.118,4,202.725,17.0,18.245,1.395,85.757,0,0,1,0
18,B,2,1,54.82,20558.088,0.946,41,27794.791,110.697,263124.8,1.075,186501.489,86,311092.367,0.729,1257.0,66.023,1.058,21.625,16.36,16.628,252.976,1229.732,8877.823,17930414.476,2019.686,0.332,163.474,4,276.426,16.36,16.628,0.766,115.736,0,0,2,0
19,B,2,2,19.647,8035.03,0.977,16,10066.425,236.287,664122.819,1.055,240925.989,99,298655.154,0.893,1382.0,55.736,0.985,20.881,23.017,19.679,220.654,1353.5,10336.076,17363420.266,1679.885,0.541,138.665,5,197.541,23.017,19.679,0.902,68.998,0,3,2,0
20,B,2,3,98.972,38221.03,0.912,56,68204.881,419.866,1508913.361,1.125,159640.758,63,493399.943,0.852,2598.0,53.499,1.008,20.778,11.576,10.98,194.142,2541.443,20909.82,23729551.091,1134.852,0.283,117.07,3,224.542,11.576,10.98,1.406,88.35,0,1,2,0
21,B,2,4,125.379,33484.978,0.896,57,74987.481,253.715,818125.006,1.049,142310.514,57,335302.086,0.934,1690.5,52.471,0.92,19.28,11.871,12.601,204.704,1637.982,12990.009,13022508.399,1002.502,0.357,103.102,3,187.91,11.871,12.601,0.885,82.603,0,1,2,0
