,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,330.717,293353.244,0.788,72,1682055.402,492.959,2127568.9,1.032,59744.778,23,479606.907,0.724,2970.0,52.551,1.316,19.886,11.375,11.749,159.179,3012.999,15225.131,15951523.233,1047.71,0.329,111.005,4,200.003,11.375,11.749,0.941,90.074,0,0,1,0
1,B,2,2,909.128,680761.373,0.841,257,2873775.51,619.711,1803014.847,1.069,370291.226,155,452197.231,0.363,3065.0,71.522,1.786,19.57,20.218,21.755,147.666,3062.298,10509.968,38709191.973,3683.093,0.197,282.72,6,484.155,20.218,21.755,0.759,159.511,0,4,1,0
2,B,2,3,328.71,203496.964,0.845,83,907477.596,585.911,2384725.692,0.911,14931.975,5,453290.889,0.806,3148.0,46.42,1.07,17.368,10.538,9.773,138.265,3278.416,14426.213,15931240.816,1104.326,0.27,113.206,2,226.663,10.538,9.773,1.223,105.889,0,0,1,0
3,B,2,4,303.254,194147.111,0.891,137,480910.234,455.462,1824861.593,0.915,369108.837,122,546290.766,0.442,3450.0,66.81,1.521,21.493,14.223,15.039,157.067,3478.081,15574.489,28224638.9,1812.235,0.296,168.298,4,277.591,14.223,15.039,0.919,122.946,0,2,1,0
4,B,2,5,249.912,324349.057,0.806,68,1518150.089,339.589,1469257.973,0.994,84875.64,34,544722.0,0.79,3325.0,50.842,1.138,18.554,13.924,14.765,162.454,3353.091,12091.026,12536344.721,1036.831,0.41,86.361,3,178.307,13.924,14.765,1.097,73.731,0,1,1,0
5,B,2,6,151.363,176668.254,0.891,44,653471.011,531.619,1605583.339,1.301,86569.988,38,451797.54,0.749,3422.5,47.316,1.192,19.161,20.763,17.852,133.512,3383.947,12213.606,22300348.198,1825.861,0.419,149.051,5,233.922,20.763,17.852,1.022,76.846,0,1,1,0
6,B,2,7,240.3,284275.153,0.871,74,1190647.682,167.946,543161.895,0.924,160018.294,59,493375.966,0.714,3020.0,53.248,1.308,20.29,11.254,11.418,161.081,3062.915,9018.895,9047175.527,1003.136,0.335,93.699,2,194.025,11.254,11.418,1.456,88.924,0,0,1,0
7,B,2,8,326.281,376290.255,0.892,85,2233950.292,397.578,1697733.239,1.02,154710.356,57,551595.861,0.768,3620.0,49.704,1.075,17.922,20.099,22.311,151.046,3651.84,15862.681,22472085.194,1416.664,0.483,119.143,4,192.045,20.099,22.311,1.064,64.249,0,2,1,0
8,B,2,9,429.161,460773.276,0.778,102,2191706.629,462.75,1415796.978,1.083,124745.424,53,509568.733,0.674,3419.5,52.363,1.284,18.883,16.377,17.008,147.032,3465.695,14204.039,19145635.971,1347.901,0.329,154.829,7,227.038,16.377,17.008,1.0,59.665,0,5,1,0
9,B,2,10,221.605,266059.709,0.807,56,1239547.826,597.213,2695557.056,1.15,43697.192,18,472053.761,0.8,3519.0,45.665,1.075,17.232,15.348,18.839,132.773,3555.355,22664.773,29678449.936,1309.453,0.455,89.95,2,190.159,15.348,18.839,1.526,81.978,0,0,1,0
10,B,2,11,157.278,111856.618,0.882,31,747515.958,199.0,604386.655,1.261,34891.941,15,469675.579,0.885,3317.0,44.51,1.006,16.263,11.932,10.008,139.533,3366.061,12393.628,13316130.657,1074.434,0.318,108.066,3,206.215,11.932,10.008,1.026,88.936,0,1,1,0
11,B,2,12,119.886,88129.739,0.931,50,226763.482,58.623,142331.717,1.212,69324.761,31,469833.385,0.761,2530.0,55.336,1.104,19.405,13.789,12.318,185.375,2534.507,7007.715,7591501.556,1083.306,0.33,152.814,8,203.063,13.789,12.318,1.193,61.603,0,2,1,0
12,B,2,1,318.253,428261.764,0.835,114,1300618.899,697.875,3887235.864,1.012,61613.701,22,529361.782,0.862,3583.5,46.292,1.093,17.924,23.075,24.05,147.032,3600.312,22077.827,22604128.881,1023.838,0.701,94.051,5,135.505,23.075,24.05,0.908,48.536,0,1,2,0
13,B,2,2,307.585,342790.199,0.893,122,944667.238,590.558,2875831.743,0.982,138842.39,50,504460.209,0.423,3306.0,66.595,1.745,20.29,19.836,22.435,149.462,3375.182,15889.702,21709779.613,1366.28,0.542,106.597,4,177.917,19.836,22.435,0.771,69.422,0,2,2,0
