,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,326.809,210306.764,0.895,103,936569.904,304.099,1537122.736,0.908,293209.608,73,347848.411,0.907,1770.0,52.871,0.937,19.409,16.203,12.569,201.747,1724.183,3295.122,4744651.741,1439.902,0.349,137.468,4,227.819,16.203,12.569,0.959,75.488,0,2,1,0
1,B,2,2,170.904,45668.717,0.863,47,214793.244,370.855,1931556.274,0.95,196216.572,54,479165.071,0.954,1868.5,58.129,0.899,20.131,21.672,20.95,256.461,1868.371,3563.555,6553230.046,1838.959,0.527,130.62,4,209.409,21.672,20.95,1.029,87.68,0,0,1,0
2,B,2,3,353.638,226710.554,0.89,132,722922.075,392.931,2431266.138,0.912,459717.975,98,369093.509,0.962,1455.0,58.473,0.947,21.076,23.356,25.894,261.848,1409.57,3126.278,5176168.765,1655.697,0.582,120.111,4,189.051,23.356,25.894,1.043,75.961,0,0,1,0
3,B,2,4,20.492,7134.421,0.887,10,14677.765,350.575,1632148.003,0.791,60174.069,16,625862.124,0.926,2311.5,62.248,0.956,22.952,15.159,14.545,285.403,2192.906,3340.865,5568159.9,1666.682,0.364,116.597,2,239.738,15.159,14.545,1.027,110.157,0,0,1,0
4,B,2,5,265.44,113065.41,0.874,91,465785.457,526.654,3228977.644,0.928,434746.855,95,369614.037,0.864,1650.5,57.004,0.989,20.448,24.732,26.491,223.506,1653.711,4492.644,7746908.154,1724.354,0.631,119.721,4,185.307,24.732,26.491,1.055,67.375,0,2,1,0
5,B,2,6,96.543,43807.481,0.968,46,95801.2,442.47,2704923.81,0.973,67318.985,18,336792.477,0.81,1552.0,59.095,1.106,23.43,11.278,9.491,225.09,1496.255,3314.154,3339598.465,1007.678,0.334,97.065,2,194.635,11.278,9.491,1.027,88.245,0,0,1,0
6,B,2,7,80.171,23834.977,0.937,23,97464.184,223.611,1340478.463,1.003,98166.569,28,387472.851,0.952,1659.0,55.947,0.878,19.131,15.315,11.37,237.132,1633.999,3924.13,4204196.421,1071.37,0.408,100.273,3,181.699,15.315,11.37,0.867,60.242,0,1,1,0
7,B,2,8,67.39,96791.101,1.104,30,246369.255,548.941,2423322.702,1.441,53869.079,18,302505.665,0.912,1212.5,58.696,0.943,21.151,16.787,14.446,249.912,1210.446,3079.946,5837942.238,1895.469,0.38,122.078,2,250.492,16.787,14.446,1.008,110.592,0,0,1,0
8,B,2,1,61.052,27597.403,0.973,41,44095.191,267.024,1099340.259,0.941,425563.233,118,451658.007,0.927,1595.0,63.054,0.981,23.482,14.847,13.795,293.431,1539.233,3027.952,4985864.517,1646.613,0.349,119.156,2,243.486,14.847,13.795,1.004,108.259,0,0,2,0
9,B,2,2,271.777,125320.187,0.803,61,736991.642,232.695,835058.531,1.079,116081.028,42,280625.329,0.823,1219.0,59.484,1.039,23.115,20.164,20.164,231.745,1210.924,2868.802,3819892.051,1331.529,0.585,111.234,4,169.115,20.164,20.164,0.971,66.291,0,2,2,0
10,B,2,3,442.153,254036.719,0.86,120,1319398.249,232.062,909791.769,0.934,388139.468,117,357479.232,0.925,1213.5,63.817,0.976,22.924,15.54,14.461,299.768,1192.519,2592.951,7739154.529,2984.69,0.197,243.333,5,436.155,15.54,14.461,1.451,167.343,0,3,2,0
11,B,2,4,237.237,209012.425,0.879,72,979619.497,363.672,2839024.892,0.928,152449.315,39,356367.724,0.69,1976.5,57.605,1.369,23.43,14.318,13.883,182.1,1956.987,4166.625,5423870.605,1301.742,0.395,98.229,2,203.529,14.318,13.883,1.134,91.304,0,0,2,0
12,B,2,5,114.499,53927.88,0.904,52,139258.089,332.935,1513845.383,0.916,162262.777,44,362455.934,0.848,1670.0,57.142,1.062,22.388,24.2,28.143,220.443,1644.218,3930.676,4672479.419,1188.722,0.737,83.68,4,142.363,24.2,28.143,0.929,53.73,0,2,2,0
13,B,2,6,120.626,53421.01,1.0,39,195619.801,670.94,2776082.75,1.314,101393.898,38,301453.307,0.933,1494.0,53.196,0.91,18.539,20.424,20.448,210.091,1434.868,3536.049,4239607.417,1198.967,0.6,105.986,4,158.399,20.424,20.448,0.846,49.799,0,2,2,0
14,B,2,7,484.298,248676.368,0.849,109,1471263.821,565.947,2200647.075,1.09,186591.671,66,346559.556,0.913,1270.0,61.886,0.995,22.66,16.72,16.72,278.22,1245.629,3222.785,6958696.597,2159.219,0.348,151.769,3,279.325,16.72,16.72,1.331,129.44,0,1,2,0
15,B,2,8,301.353,92589.846,0.867,52,616379.391,569.961,2500685.091,1.12,105886.552,36,339022.993,0.933,1624.0,53.358,0.889,17.956,14.76,10.928,211.359,1604.016,3404.771,5740123.359,1685.906,0.24,156.641,3,297.287,14.76,10.928,1.035,108.045,0,1,2,0
16,B,2,9,93.057,83974.978,0.955,36,230283.594,223.928,700270.454,1.44,76593.965,29,293069.197,0.927,1291.0,56.023,0.905,19.194,17.247,18.165,231.428,1266.352,2614.444,3897372.742,1490.708,0.455,93.786,2,202.881,17.247,18.165,1.851,88.711,0,0,2,0
17,B,2,10,131.611,100355.396,0.983,39,402106.992,403.282,1382361.305,1.36,70118.312,26,286501.548,0.901,1310.0,56.311,0.953,20.435,18.74,17.403,227.308,1260.409,3079.541,4769600.423,1548.803,0.482,92.518,2,200.987,18.74,17.403,1.615,84.825,0,0,2,0
18,B,2,1,170.059,93260.556,0.856,47,476656.123,536.055,3059065.559,1.247,61941.238,20,587901.83,0.896,2720.0,56.131,0.962,21.846,19.05,19.45,224.668,2616.761,6113.241,6570209.308,1074.75,0.675,80.907,3,141.497,19.05,19.45,1.088,54.252,0,1,3,0
19,B,2,2,249.173,129726.028,0.866,81,500046.708,269.77,1532567.59,0.945,337094.089,81,417666.739,0.938,1707.5,57.238,1.01,21.141,20.683,24.36,244.42,1708.808,3173.984,4758303.449,1499.158,0.365,125.915,3,227.149,20.683,24.36,1.339,100.102,0,1,3,0
20,B,2,3,298.501,124620.759,0.863,80,730811.113,314.978,1615699.303,1.031,268823.14,70,310908.999,0.921,1793.0,48.106,1.001,17.814,10.593,10.422,169.636,1832.798,3056.384,4884822.76,1598.236,0.167,182.356,4,346.523,10.593,10.422,0.929,144.835,0,2,3,0
21,B,2,4,298.818,137197.281,0.868,81,717273.799,541.336,3293614.037,1.095,154276.544,42,475083.554,0.809,1885.0,62.661,1.107,24.644,16.541,15.933,252.87,1878.766,5155.053,6739953.236,1307.446,0.492,87.877,2,182.747,16.541,15.933,1.088,81.139,0,0,3,0
22,B,2,5,498.769,292324.921,0.857,122,1618923.766,414.69,2035804.114,0.913,499006.136,122,329547.444,0.869,1328.0,59.684,1.02,21.397,20.368,24.275,246.427,1337.303,3094.748,6084360.292,1966.028,0.435,109.159,2,238.302,20.368,24.275,1.031,100.93,0,0,3,0
23,B,2,6,295.86,223560.862,0.86,77,1626594.474,413.0,2941397.333,0.972,209365.028,50,359362.554,0.907,1807.5,52.487,0.996,19.679,13.602,14.033,198.789,1807.757,4473.904,5485513.752,1226.113,0.4,93.156,2,196.218,13.602,14.033,1.53,88.157,0,0,3,0
24,B,2,7,281.812,287766.368,0.842,93,1115158.369,345.082,1853556.851,1.022,215105.384,62,415699.127,0.424,1876.0,80.605,1.241,18.535,18.552,19.062,219.386,1894.826,3128.354,3686358.606,1178.37,0.491,101.709,4,173.664,18.552,19.062,0.812,60.6,0,2,3,0
25,B,2,8,199.423,87330.78,0.925,38,568484.812,285.509,1110934.361,1.089,67736.496,23,307913.007,0.858,1337.0,58.605,1.037,22.444,14.731,14.038,234.597,1312.521,3684.698,4100243.913,1112.776,0.445,96.652,3,177.271,14.731,14.038,1.001,78.937,0,1,3,0
26,B,2,9,209.563,97030.747,0.898,59,463206.901,573.764,2783705.926,1.085,134746.349,45,405974.932,0.859,1788.0,56.868,1.023,22.673,10.275,10.422,221.076,1836.355,3730.363,5488775.078,1471.378,0.223,156.465,3,287.976,10.275,10.422,0.864,124.085,0,1,3,0
27,B,2,10,122.21,37486.383,0.874,29,180786.871,314.662,1719893.591,0.916,72465.26,20,295511.284,0.892,1366.0,55.734,1.049,21.161,17.968,21.141,220.443,1340.536,2961.203,3525363.094,1190.517,0.461,84.291,2,180.077,17.968,21.141,1.531,78.445,0,0,3,0
28,B,2,11,31.054,13795.625,0.965,16,27103.993,189.072,634477.239,1.205,75795.103,27,306480.288,0.821,1441.0,58.183,1.062,22.321,12.953,11.07,221.288,1384.986,3096.338,5117439.117,1652.739,0.267,137.321,2,279.047,12.953,11.07,1.03,128.053,0,0,3,0
29,B,2,12,181.255,140967.816,1.028,48,613068.42,297.128,1124605.293,1.21,51853.597,18,288736.817,0.876,1341.0,56.54,1.021,20.92,19.581,21.333,222.766,1296.141,2992.71,4806765.348,1606.158,0.541,110.493,3,193.077,19.581,21.333,0.865,77.741,0,1,3,0
30,B,2,13,208.19,73138.665,0.892,51,385131.004,252.659,956531.955,1.103,83172.701,28,264582.236,0.893,1251.5,54.684,0.99,20.12,21.84,24.056,212.521,1244.972,2676.108,3875380.759,1448.14,0.556,108.748,4,180.956,21.84,24.056,1.284,65.431,0,2,3,0
31,B,2,14,113.337,56703.835,1.095,28,319684.456,516.937,2921596.256,1.368,41013.447,13,285016.121,0.791,1438.5,55.46,1.084,21.935,14.934,12.693,193.508,1472.891,2710.058,4513942.05,1665.626,0.312,141.505,3,259.028,14.934,12.693,1.139,111.262,0,1,3,0
32,B,2,1,236.181,90541.26,0.904,52,634895.098,473.101,3335349.319,1.018,120336.26,30,311180.882,0.758,1751.5,54.534,1.28,22.81,16.112,16.607,179.354,1735.01,5033.287,5201653.397,1033.451,0.521,72.359,2,157.914,16.112,16.607,1.304,69.182,0,0,4,0
33,B,2,2,326.597,160884.353,0.886,130,479128.841,473.101,2961285.34,0.914,379556.259,87,344535.011,0.929,1398.0,58.043,0.998,21.021,12.953,12.572,249.173,1382.713,3239.537,6341301.712,1957.472,0.232,172.046,3,325.57,12.953,12.572,1.102,146.955,0,1,4,0
