,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,75.312,35641.325,0.968,49,56403.117,312.443,809705.722,1.076,266882.648,123,325937.55,0.92,1481.0,55.244,0.991,20.107,22.84,18.331,223.4,1458.985,10244.758,20560256.691,2006.905,0.395,191.872,6,252.557,22.84,18.331,0.731,87.702,0,2,1,1
1,B,3,2,72.46,38844.345,0.927,44,63129.841,44.997,127721.236,1.093,83763.624,37,554217.513,0.883,2769.5,52.351,0.919,18.152,22.953,26.252,192.663,2876.618,18588.483,18852931.185,1014.226,0.618,117.185,6,143.555,22.953,26.252,0.925,47.016,0,2,1,1
2,B,3,3,90.416,43726.064,0.954,59,69096.792,205.549,493190.803,1.074,319701.064,154,560914.766,0.908,2495.0,55.435,0.968,19.727,21.45,21.125,222.027,2526.335,10994.934,16296165.772,1482.152,0.537,107.594,5,186.23,21.45,21.125,1.154,73.268,0,1,1,1
3,B,3,4,518.838,274771.855,0.87,179,943702.022,823.782,2290262.887,0.927,391961.718,178,558049.856,0.926,1500.0,71.48,0.994,25.563,23.058,15.6,376.664,1481.557,10307.142,33361284.522,3236.715,0.27,290.664,7,388.196,23.058,15.6,0.696,121.309,0,5,1,1
4,B,3,5,54.926,28697.353,0.961,39,45782.575,111.647,259067.366,0.99,190797.091,87,515472.414,0.905,2356.5,54.579,0.972,19.517,10.164,8.125,214.633,2401.643,11981.233,12469333.526,1040.739,0.472,151.355,8,166.377,10.164,8.125,0.587,50.393,0,2,1,1
5,B,3,6,485.882,373139.232,0.857,168,1433295.078,709.916,2234802.698,0.962,331492.954,145,431384.991,0.865,1674.0,61.162,1.093,23.282,18.946,19.138,257.623,1674.48,13530.672,30551980.099,2257.979,0.336,170.785,5,290.458,18.946,19.138,0.779,117.552,0,1,1,1
6,B,3,7,16.478,10944.725,0.959,13,13749.307,464.757,1278015.338,1.097,66889.795,34,555549.464,0.956,2338.0,55.483,0.936,19.28,13.756,11.877,234.174,2372.378,13165.648,23624234.203,1794.384,0.255,174.712,4,297.265,13.756,11.877,0.988,134.709,0,0,1,1
7,B,3,8,401.17,223034.358,0.855,106,1232598.441,293.114,770515.513,1.036,152020.767,77,306485.147,0.898,1296.0,58.008,1.064,21.382,21.415,23.78,240.512,1274.304,10222.257,15902441.199,1555.668,0.499,103.678,3,197.898,21.415,23.78,1.065,69.357,0,1,1,1
8,B,3,9,310.753,145751.864,0.945,162,315205.994,424.196,1352993.946,0.977,504196.99,203,385214.027,0.907,1374.0,62.435,1.054,23.559,18.883,18.554,281.495,1368.459,10401.679,29663635.596,2851.812,0.307,203.411,5,341.459,18.883,18.554,1.046,142.042,0,3,1,1
9,B,3,10,12.041,6207.392,0.967,8,9418.828,325.436,685277.394,1.027,141626.888,78,336999.294,0.833,1543.5,56.608,1.016,20.949,17.2,13.342,212.309,1587.302,11542.796,32555776.189,2820.441,0.24,281.931,8,384.015,17.2,13.342,0.853,101.113,0,0,1,1
10,B,3,11,4.648,3083.516,0.968,4,3469.833,220.126,520141.109,1.262,42616.062,24,276988.5,0.846,2192.5,42.876,0.944,16.792,14.721,11.656,123.794,2237.489,13565.952,17710954.861,1305.545,0.307,127.041,4,231.311,14.721,11.656,0.91,92.951,0,0,1,1
11,B,3,12,253.081,333973.281,0.883,79,1318085.205,13.943,36894.627,1.088,34115.051,16,510801.923,0.901,2310.5,55.576,1.048,21.146,16.022,16.655,221.393,2307.215,17651.151,21409259.305,1212.91,0.442,113.996,4,185.691,16.022,16.655,0.871,79.952,0,0,1,1
12,B,3,13,557.286,487871.71,0.806,145,2178395.778,2113.694,9159254.523,1.027,81002.373,42,327131.764,0.912,1483.0,54.98,0.98,19.709,21.188,14.316,219.492,1490.404,15729.975,42702301.271,2714.709,0.353,209.935,5,311.055,21.188,14.316,0.796,126.726,0,3,1,1
13,B,3,14,136.47,61743.87,0.944,73,121492.437,706.114,2551225.088,0.998,222458.865,100,577247.171,0.937,2520.0,55.261,0.979,20.519,31.255,35.267,227.625,2535.954,18280.917,34480989.059,1886.174,0.639,162.521,6,192.631,31.255,35.267,0.815,65.054,0,0,1,1
14,B,3,15,4.014,2466.193,0.938,3,3305.584,726.288,1674039.506,1.188,45967.159,26,280526.674,0.941,1381.5,52.707,0.912,18.272,18.845,18.845,208.084,1348.139,16841.502,18550477.172,1101.474,0.581,82.598,3,154.377,18.845,18.845,1.147,62.104,0,1,1,1
15,B,3,16,0.951,498.556,0.965,1,473.946,256.778,643379.342,1.287,61735.773,35,297727.224,0.844,1944.5,48.547,1.043,19.355,15.744,16.263,158.229,1881.627,14066.621,15268175.108,1085.419,0.519,75.851,2,162.114,15.744,16.263,1.197,70.423,0,0,1,1
16,B,3,17,1.901,797.444,0.692,1,1516.164,177.347,364959.918,1.232,51853.819,30,238377.97,0.932,1593.0,44.759,0.893,16.205,16.972,17.381,148.617,1603.979,10200.106,18474217.947,1811.179,0.322,163.692,5,265.965,16.972,17.381,1.068,94.505,0,1,1,1
17,B,3,18,4.648,2753.693,1.021,3,4376.849,326.069,834155.002,1.408,32758.238,18,269888.387,0.8,1556.0,52.153,1.074,21.174,12.25,13.507,173.122,1558.949,12869.614,20279131.431,1575.737,0.258,147.385,3,276.992,12.25,13.507,1.025,131.633,0,1,1,1
18,B,3,19,588.868,654041.488,0.827,163,3130131.442,904.797,3866672.375,0.965,191452.755,82,296749.333,0.669,1502.0,58.62,1.291,23.457,22.754,23.356,182.84,1623.003,21817.913,46609557.492,2136.298,0.523,110.877,3,226.636,22.754,23.356,1.079,96.328,0,1,1,1
