,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,26.724,13371.432,0.997,22,16633.018,548.519,1027949.892,1.15,296670.651,191,290799.916,0.883,1093.0,61.849,0.969,21.161,32.766,34.092,268.714,1082.191,7917.41,43514625.898,5496.068,0.33,312.923,7,457.346,32.766,34.092,1.295,133.396,0,3,1,1
1,B,3,2,51.44,25270.995,0.964,38,34430.57,771.497,1938644.98,1.042,222735.311,113,605885.707,0.812,2109.0,65.798,1.017,21.904,27.397,19.33,279.805,2165.387,13099.957,32792394.315,2503.244,0.353,199.281,6,298.728,27.397,19.33,0.759,93.982,0,4,1,1
2,B,3,3,79.22,34775.595,0.952,48,59531.354,732.309,2266333.079,1.043,211967.143,100,341219.181,0.914,1393.0,58.497,0.988,20.881,11.237,10.928,248.856,1371.15,12105.539,26286830.8,2171.471,0.452,162.057,5,245.806,11.237,10.928,0.914,72.911,0,1,1,1
3,B,3,4,33.695,16943.537,0.945,24,23975.545,535.527,1339990.257,1.048,105860.192,58,615708.029,0.854,2374.0,61.787,1.082,23.559,14.765,15.771,259.525,2372.446,14181.946,22412934.201,1580.385,0.365,116.853,2,233.329,14.765,15.771,1.227,108.558,0,0,1,1
4,B,3,5,124.745,60857.827,0.952,74,106921.355,723.436,2447397.43,1.004,274663.225,133,345833.584,0.914,1507.0,55.833,0.972,19.857,21.876,23.612,226.78,1524.972,13357.629,32242361.41,2413.779,0.424,145.694,4,267.584,21.876,23.612,1.066,107.606,0,2,1,1
5,B,3,6,20.808,10489.532,0.99,16,13841.096,560.56,1417672.061,1.098,138953.537,82,292066.59,0.822,1685.5,52.033,1.063,20.205,16.049,19.035,177.03,1649.813,12757.119,23298117.194,1826.284,0.326,169.543,5,265.295,16.049,19.035,0.977,89.623,0,3,1,1
6,B,3,7,45.525,26452.034,0.975,36,33780.649,753.012,2158178.216,1.116,141748.75,74,619066.215,0.944,2757.0,53.656,0.926,18.837,25.729,28.854,216.218,2863.163,16893.66,32328329.726,1913.637,0.564,128.92,4,206.43,25.729,28.854,0.743,84.303,0,2,1,1
7,B,3,8,27.674,16711.075,0.952,23,20054.897,1929.27,6011923.165,1.118,87451.216,54,650768.133,0.879,1478.5,79.525,1.005,28.535,28.777,10.62,442.153,1471.817,12872.027,46746738.962,3631.653,0.312,273.575,6,382.159,28.777,10.62,0.78,114.06,0,2,1,1
8,B,3,9,2.218,596.571,0.649,1,1323.29,447.857,1054195.246,1.33,101724.444,69,322424.515,0.843,1469.0,57.503,1.048,21.875,24.555,28.369,221.71,1454.261,10640.595,21637895.124,2033.523,0.524,149.37,5,220.885,24.555,28.369,0.808,78.534,0,3,1,1
9,B,3,10,26.195,13262.374,0.963,20,17111.19,520.739,1173390.516,1.024,179088.994,103,289294.948,0.631,1318.0,65.998,1.062,19.768,24.312,25.533,218.753,1322.475,12905.729,22911101.389,1775.266,0.612,137.761,5,190.908,24.312,25.533,0.867,68.97,0,1,1,1
10,B,3,11,4.648,2071.453,0.926,3,3372.023,719.0,1651810.603,1.351,53139.532,36,322693.863,0.886,1431.0,57.41,1.007,21.862,28.264,17.882,232.378,1388.656,13273.838,24262824.964,1827.868,0.454,141.39,4,225.041,28.264,17.882,1.048,82.857,0,2,1,1
11,B,3,12,3.697,2549.338,1.042,3,3157.918,897.192,2384047.675,1.314,110727.662,75,480804.713,0.911,2470.0,51.766,0.926,17.749,17.701,19.266,194.247,2475.22,16407.003,25321092.749,1543.31,0.471,97.665,2,202.878,17.701,19.266,1.202,88.892,0,0,1,1
12,B,3,13,2.852,1398.667,0.965,3,1329.627,810.262,1484720.437,1.366,173124.883,118,237792.799,0.784,1008.0,61.65,1.082,23.102,25.072,18.842,237.026,1003.235,7953.445,26294982.321,3306.112,0.424,147.215,2,313.09,25.072,18.842,1.021,131.595,0,0,1,1
13,B,3,1,100.557,43205.459,0.946,59,75893.44,758.505,2223359.642,1.032,163169.879,84,339757.732,0.947,1410.0,57.003,0.96,20.205,22.425,23.725,244.948,1387.06,11400.915,20763500.83,1821.214,0.515,125.405,4,210.883,22.425,23.725,0.946,84.524,0,2,2,1
14,B,3,2,24.822,12644.129,0.951,17,18794.561,510.282,1290287.245,1.179,66484.164,43,319748.994,0.839,1448.0,58.281,1.07,21.875,21.29,19.334,226.78,1409.951,10663.805,18696804.003,1753.296,0.51,109.604,3,207.926,21.29,19.334,0.908,85.978,0,1,2,1
15,B,3,3,53.025,27139.911,0.957,36,39599.406,487.361,1528467.377,1.277,54784.765,36,553017.278,0.921,2527.0,54.516,0.941,19.405,14.865,18.243,217.908,2537.852,15665.902,18503254.906,1181.116,0.436,100.231,3,184.591,14.865,18.243,1.03,79.902,0,1,2,1
16,B,3,4,12.57,5186.338,0.9,8,8433.438,728.507,1834413.617,1.145,92609.029,60,527765.553,0.914,2180.0,57.372,0.946,19.854,15.031,14.251,239.455,2204.024,11965.939,21152986.396,1767.767,0.343,122.904,2,254.459,15.031,14.251,1.603,117.522,0,0,2,1
17,B,3,5,9.295,6987.593,0.959,8,8064.062,894.023,2608770.135,1.364,56374.113,39,567402.879,0.81,2407.0,57.654,1.014,21.74,24.597,20.435,214.316,2647.502,13907.491,30757938.418,2211.609,0.484,184.238,6,239.648,24.597,20.435,1.02,89.393,0,2,2,1
18,B,3,6,8.873,4438.622,0.895,6,6645.813,748.364,1863413.079,1.248,47312.556,31,302134.493,0.855,1734.0,50.42,1.018,20.027,19.45,20.218,172.911,1747.344,12935.468,19799478.154,1530.635,0.495,113.774,4,197.143,19.45,20.218,0.886,75.075,0,2,2,1
19,B,3,7,3.38,1638.302,0.993,3,1888.498,513.345,937317.846,1.311,77829.243,54,293983.712,0.863,1502.0,54.212,1.03,21.188,14.479,14.201,201.852,1456.429,9825.848,17502653.321,1781.287,0.328,130.776,2,261.251,14.479,14.201,1.322,121.443,0,0,2,1
20,B,3,8,1.901,939.0,0.965,2,892.65,1343.781,3034558.713,1.421,129265.729,91,275840.339,0.885,1132.0,59.33,0.983,21.606,24.411,16.465,247.906,1112.683,9621.622,28232786.724,2934.307,0.429,193.526,5,293.221,24.411,16.465,0.862,112.436,0,1,2,1
21,B,3,9,2.958,1668.963,1.198,2,2447.368,572.074,1501825.289,1.394,26782.5,18,473416.872,0.932,2358.0,51.692,0.919,19.054,21.813,23.631,198.155,2389.118,12702.561,14871714.702,1170.765,0.704,79.563,3,144.573,21.813,23.631,0.798,53.401,0,1,2,1
