,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,110.697,43037.508,0.964,75,63840.602,459.264,1577424.454,0.977,182000.343,71,366635.156,0.895,1642.0,55.67,1.023,20.006,22.257,21.755,220.654,1661.584,8509.595,16553027.126,1945.219,0.51,136.852,5,218.967,22.257,21.755,0.72,88.473,0,3,1,0
1,B,2,2,12.464,5875.028,0.969,11,6784.079,293.008,771681.736,1.103,90559.81,51,526472.683,0.698,2126.0,67.202,1.426,27.633,16.903,15.405,250.758,2099.529,8446.298,19332076.504,2288.822,0.255,178.741,3,335.709,16.903,15.405,0.903,149.312,0,1,1,0
2,B,2,3,413.422,223688.376,0.865,106,1386374.482,613.902,2329845.921,0.934,262560.157,100,321031.089,0.817,1556.0,56.666,1.132,22.028,18.958,20.683,208.824,1537.33,10901.3,23290723.756,2136.509,0.402,138.232,3,258.458,18.958,20.683,1.126,116.226,0,1,1,0
3,B,2,4,323.851,133556.342,0.906,105,539280.857,593.621,1727464.376,0.962,385887.411,158,474405.96,0.887,1796.0,61.454,1.015,21.415,30.892,15.893,266.707,1778.752,10084.167,30119418.85,2986.803,0.355,196.264,4,325.01,30.892,15.893,0.966,126.595,0,0,1,0
4,B,2,5,268.186,99350.43,0.912,91,405650.658,474.475,1520628.511,0.98,215509.065,99,325833.93,0.88,1447.0,56.582,1.041,20.674,16.101,14.352,224.245,1453.025,7372.792,18272891.881,2478.422,0.282,181.139,3,332.363,16.101,14.352,0.898,138.76,0,1,1,0
5,B,2,6,165.094,56218.977,0.928,85,115733.042,576.193,2258128.428,0.999,234019.777,91,298293.699,0.947,1418.0,53.22,0.989,19.502,16.205,17.805,213.471,1397.348,9979.003,19524130.457,1956.521,0.327,154.5,4,274.304,16.205,17.805,1.069,116.169,0,2,1,0
6,B,2,7,65.911,33795.072,0.98,42,53903.253,693.016,2319969.096,1.066,49307.501,26,340977.93,0.905,1601.0,54.601,1.034,20.879,19.324,22.469,214.633,1588.654,12924.465,26451477.506,2046.621,0.434,130.093,3,243.39,19.324,22.469,1.352,104.779,0,1,1,0
7,B,2,8,240.829,104020.725,0.916,58,496699.295,935.323,2821493.414,1.357,90538.006,54,283432.461,0.839,1167.5,60.957,1.037,22.332,12.753,10.126,248.011,1142.821,7485.123,28048317.605,3747.209,0.119,361.771,6,629.964,12.753,10.126,1.205,286.456,0,0,1,0
8,B,2,9,457.68,319565.797,0.898,159,1645419.244,611.05,2380593.686,0.958,432163.188,163,316222.756,0.805,1406.0,59.055,1.191,23.356,13.549,14.646,223.4,1415.499,10194.495,25856354.514,2536.306,0.202,203.184,2,397.343,13.549,14.646,1.193,186.702,0,0,1,0
9,B,2,10,11.408,6550.487,1.075,10,7338.09,406.24,991422.106,1.118,39754.713,22,427486.42,0.929,1929.0,55.473,0.957,19.581,18.379,20.991,227.52,1878.899,10724.329,17155866.457,1599.715,0.372,126.89,3,232.41,18.379,20.991,1.135,102.968,0,1,1,0
10,B,2,11,17.006,6755.862,0.989,10,15367.823,237.66,526995.429,1.004,30539.411,17,284418.803,0.919,1710.5,47.184,0.912,16.459,14.646,15.264,162.876,1746.227,11287.115,12232170.684,1083.729,0.501,78.133,2,164.872,14.646,15.264,1.449,73.883,0,0,1,0
11,B,2,12,2.852,1271.222,0.965,3,1208.474,1113.938,2052597.157,1.293,632395.871,391,212998.859,0.373,1128.0,79.672,2.057,21.904,20.001,16.403,188.332,1130.974,7961.445,37003891.751,4647.887,0.223,318.964,5,511.328,20.001,16.403,0.752,185.244,0,1,1,0
12,B,2,13,4.753,2293.667,0.848,3,4028.704,657.103,2308171.769,1.432,45334.955,27,260304.253,0.857,1264.0,55.388,1.009,21.732,18.688,20.719,209.246,1244.009,10709.397,19274466.075,1799.771,0.4,114.922,2,237.77,18.688,20.719,1.918,109.858,0,0,1,0
13,B,2,1,544.505,268833.346,0.835,123,1615933.055,712.24,2291891.438,0.871,105069.068,47,263631.491,0.866,1052.0,60.816,1.03,23.107,33.553,17.608,254.771,1034.777,10269.445,30573014.154,2977.085,0.317,254.555,6,343.348,33.553,17.608,0.83,106.906,0,4,2,0
14,B,2,2,114.71,42240.446,0.953,69,80368.839,427.576,1323786.611,1.0,306557.44,126,327255.347,0.944,1394.0,56.676,0.963,20.027,16.614,13.292,241.357,1355.899,8877.391,20316897.055,2288.611,0.294,176.691,4,312.828,16.614,13.292,1.251,136.904,0,2,2,0
15,B,2,3,659.744,577649.594,0.803,180,2752692.905,1147.105,6388223.47,1.083,168224.742,64,324313.33,0.857,1640.0,53.882,1.009,18.78,30.347,33.004,198.05,1637.534,15554.9,37585518.095,2416.314,0.526,129.473,4,240.18,30.347,33.004,1.473,94.737,0,2,2,0
16,B,2,4,97.071,30457.579,0.945,51,59619.341,143.863,447373.476,0.992,163600.589,59,305863.534,0.949,1671.0,49.31,0.931,16.972,12.873,12.95,183.579,1666.114,10290.279,13375723.908,1299.841,0.34,110.148,2,219.187,12.873,12.95,1.285,98.946,0,0,2,0
17,B,2,5,159.919,70338.055,0.873,58,212158.494,670.095,1848184.049,1.319,69697.515,36,263212.048,0.889,1232.0,55.628,0.963,20.424,17.925,18.385,218.964,1202.08,9653.449,17722725.042,1835.896,0.432,111.314,2,231.091,17.925,18.385,1.435,103.54,0,0,2,0
18,B,2,6,68.657,25500.14,0.883,25,80672.409,481.235,1695491.632,1.165,38226.388,18,280735.815,0.821,1508.0,54.611,1.09,21.502,13.068,13.363,194.775,1441.331,9558.398,14662724.266,1534.015,0.303,125.215,2,252.325,13.068,13.363,1.032,113.403,0,0,2,0
19,B,2,7,188.121,52979.091,0.937,69,172955.399,328.393,1341405.548,1.0,131433.498,49,510876.496,0.895,2165.0,57.134,1.075,21.655,10.593,9.773,232.484,2197.468,8978.212,13051974.096,1453.739,0.211,163.041,4,294.029,10.593,9.773,0.87,133.122,0,2,2,0
20,B,2,8,26.618,7583.191,1.007,10,24535.26,339.167,742890.147,1.32,297591.012,156,243255.383,0.824,1086.0,58.694,1.005,21.862,32.443,38.251,225.935,1076.66,7765.728,27076204.355,3486.628,0.393,208.912,4,333.816,32.443,38.251,1.027,130.764,0,2,2,0
21,B,2,9,26.618,8316.027,0.812,10,23314.533,498.769,1973138.819,1.336,11480.779,5,293257.213,0.877,1770.0,49.528,0.951,18.42,13.068,11.231,171.115,1713.801,15968.671,17616063.634,1103.164,0.347,117.08,4,199.767,13.068,11.231,0.803,90.042,0,0,2,0
22,B,2,10,138.16,34175.441,0.998,25,348780.989,338.956,1673228.188,1.012,35232.032,13,292725.911,0.723,2136.0,48.346,1.198,19.405,12.318,12.002,134.463,2177.005,13846.567,14896230.315,1075.807,0.353,104.876,3,195.782,12.318,12.002,0.904,80.081,0,1,2,0
23,B,2,11,4.753,2388.889,0.965,5,2270.972,479.756,1228280.849,1.36,128319.633,67,171174.851,0.819,972.0,51.792,0.978,18.152,23.482,25.348,174.918,978.603,8118.105,14440951.217,1778.857,0.698,78.356,2,178.961,23.482,25.348,1.511,73.411,0,0,2,0
24,B,2,12,6.654,3226.889,0.965,7,3067.607,543.66,1485192.271,1.334,62461.287,32,334579.494,0.904,1519.5,55.597,0.927,20.167,11.418,9.312,222.45,1504.069,8341.051,23853189.331,2859.734,0.134,291.748,4,518.435,11.418,9.312,1.244,242.505,0,0,2,0
