,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,7,1,369.904,301382.44,0.872,147,813517.996,470.989,435334.792,1.181,89521.413,117,521971.406,0.926,3107.0,47.641,1.031,17.98,18.837,17.814,167.313,3119.739,6695.727,10335704.829,1543.627,0.322,166.341,7,245.343,18.837,17.814,0.99,67.369,0,5,1,5
1,B,7,2,415.218,402599.116,0.835,156,1153161.969,617.493,656078.298,1.14,49742.871,63,544132.075,0.845,3006.0,51.808,1.012,17.213,14.95,10.4,180.516,3014.318,6624.411,9036105.861,1364.062,0.254,161.522,5,259.945,14.95,10.4,0.634,89.72,1,0,1,5
2,B,7,3,228.682,205078.597,0.896,86,783243.516,756.498,893683.715,1.302,45397.583,60,448900.414,0.804,3668.0,44.036,1.163,18.057,13.027,8.86,124.111,3616.92,7733.655,9816442.005,1269.315,0.36,158.836,6,210.531,13.027,8.86,0.876,66.459,0,2,1,5
3,B,7,4,289.311,294972.01,0.841,114,780756.221,450.92,554944.54,1.088,52557.075,64,353718.186,0.453,2862.0,58.205,1.823,18.572,15.812,12.865,122.21,2894.348,6928.096,7166430.288,1034.401,0.503,96.71,4,160.812,15.812,12.865,0.948,61.278,0,0,1,5
4,B,7,5,165.834,148884.325,0.83,60,453890.32,367.792,328808.691,1.322,67331.954,91,533720.78,0.599,3116.5,59.785,1.23,19.698,17.749,18.713,170.27,3134.555,7176.595,7625874.876,1062.603,0.57,90.489,4,153.119,17.749,18.713,0.803,54.606,0,0,1,5
5,B,7,6,219.281,220052.708,0.906,97,508470.533,2373.007,2869590.585,1.361,45891.887,61,581386.255,0.864,3728.5,47.462,1.063,17.838,17.312,19.324,154.849,3754.547,10823.171,18263995.799,1687.49,0.426,105.679,2,223.174,17.312,19.324,1.359,96.129,0,0,1,5
6,B,7,7,55.771,55133.036,0.894,28,122403.677,1225.902,1739512.356,1.451,45030.387,60,256295.83,0.631,3286.0,39.433,1.385,15.159,14.928,14.277,78.058,3283.401,8016.885,19621114.78,2447.474,0.217,206.305,4,376.414,14.928,14.277,1.01,161.025,0,2,1,5
7,B,7,8,422.718,345347.439,0.823,163,982767.17,616.014,711733.368,1.158,64945.116,83,278435.585,0.701,2893.0,41.261,1.121,13.756,21.942,22.57,94.958,2932.188,7411.483,13186318.437,1779.174,0.486,137.137,5,214.401,21.942,22.57,1.062,82.066,0,1,1,5
8,B,7,9,80.487,112251.541,0.959,37,256400.717,701.361,955216.588,1.387,36388.063,48,528353.787,0.692,3509.5,52.105,1.385,20.225,17.488,15.161,149.567,3532.55,7181.156,8785189.487,1223.367,0.525,93.052,3,171.07,17.488,15.161,1.093,70.455,0,1,1,5
9,B,7,10,10.351,9294.817,0.776,5,18542.536,627.211,666486.636,1.365,70202.135,94,572270.047,0.828,3370.5,50.838,1.075,18.606,17.316,19.084,170.27,3360.955,8412.594,8650458.448,1028.275,0.609,90.739,4,145.616,17.316,19.084,1.003,58.39,0,0,1,5
10,B,7,11,105.838,84785.103,0.884,37,256968.671,107.211,87664.572,1.334,112276.938,152,295796.476,0.696,2895.5,42.963,1.122,13.733,23.706,25.456,102.247,2892.973,6023.643,13055354.147,2167.352,0.501,155.352,5,233.199,23.706,25.456,0.656,70.132,0,1,1,5
11,B,7,12,165.834,140977.815,0.886,62,400257.999,556.335,535836.586,1.287,62713.985,83,559440.853,0.918,4030.0,43.428,0.998,15.714,24.373,26.528,137.843,4058.546,7724.321,8319667.78,1077.074,0.771,109.397,6,132.504,24.373,26.528,1.035,49.779,0,0,1,5
12,B,7,13,25.139,23628.979,0.932,10,60907.035,619.922,580477.021,1.347,89017.077,119,252111.222,0.707,2794.0,40.004,1.173,13.313,15.981,15.258,89.994,2801.427,5563.61,7992246.282,1436.522,0.406,97.925,2,210.737,15.981,15.258,1.099,92.71,0,0,1,5
13,B,7,14,38.448,46080.506,0.912,21,86352.796,23.555,17856.068,1.252,31696.468,43,513412.907,0.893,3004.0,48.868,0.993,17.732,18.385,18.483,169.742,3024.668,5923.583,9395328.143,1586.089,0.47,93.296,2,205.879,18.385,18.483,1.279,87.976,0,0,1,5
14,B,7,15,1.584,2034.533,1.035,1,3223.512,609.149,547994.734,1.327,132037.902,178,440505.953,0.919,2952.0,45.222,1.002,16.459,16.503,16.527,149.567,2945.203,6532.865,10894417.281,1667.633,0.359,125.18,3,241.771,16.503,16.527,1.266,89.462,0,1,1,5
15,B,7,16,3.908,1531.784,0.861,1,5986.492,604.395,757971.722,1.441,35553.793,47,454016.332,0.961,3086.0,43.817,0.963,15.488,15.93,16.796,146.821,3092.313,5404.923,5500084.411,1017.607,0.581,69.981,2,148.3,15.93,16.796,1.4,65.743,0,0,1,5
16,B,7,17,4.014,5556.272,1.092,4,5508.743,452.293,429604.55,1.371,44790.098,60,200033.09,0.795,2562.0,35.135,1.079,12.198,23.282,21.935,78.058,2562.62,6009.672,7691643.374,1279.877,0.556,130.021,6,170.008,23.282,21.935,0.807,63.538,1,3,1,5
17,B,7,1,285.509,278496.557,0.869,112,765175.033,135.625,128581.142,1.078,111427.178,127,403245.436,0.567,2735.0,57.07,1.364,19.982,14.612,16.2,147.032,2742.565,6827.994,6834979.876,1001.023,0.432,113.738,5,170.551,14.612,16.2,0.869,59.353,1,2,2,5
18,B,7,2,317.936,323886.527,0.829,102,1158152.825,663.124,927486.123,1.038,34734.531,37,468765.078,0.854,3576.0,44.108,1.041,15.562,16.589,15.076,132.244,3544.685,8711.267,9938447.154,1140.873,0.377,145.7,7,194.997,16.589,15.076,0.851,64.902,0,5,2,5
19,B,7,3,235.336,193859.789,0.899,116,393951.141,262.165,342100.213,1.031,62440.784,66,492680.521,0.851,3266.0,47.136,1.09,17.991,20.129,17.978,150.518,3273.236,6810.955,7004252.603,1028.38,0.543,111.534,6,154.25,20.129,17.978,0.946,56.062,1,2,2,5
20,B,7,4,451.131,353872.685,0.732,117,1569269.448,644.322,847954.376,1.103,65952.008,71,518799.651,0.835,3154.0,49.517,1.046,17.008,18.248,18.896,162.876,3185.239,8302.357,12445668.524,1499.052,0.303,141.464,4,249.245,18.248,18.896,0.909,103.531,0,2,2,5
21,B,7,5,404.127,437828.298,0.773,127,1483855.25,332.512,350185.822,1.097,65403.053,73,484532.592,0.77,3231.0,49.256,1.172,18.552,22.023,23.22,148.722,3257.97,9560.438,12411899.071,1298.256,0.51,104.599,4,178.797,22.023,23.22,0.863,57.588,0,2,2,5
22,B,7,6,398.212,348006.927,0.846,139,1094827.892,76.685,71089.438,1.17,74183.106,86,482932.771,0.742,3179.0,50.552,1.161,18.23,16.628,13.361,150.94,3199.493,9599.106,13879561.976,1445.922,0.43,156.119,7,205.577,16.628,13.361,0.907,62.597,0,3,2,5
23,B,7,7,316.88,429965.483,0.82,102,1438263.33,638.196,877011.615,1.186,43804.769,48,463532.125,0.446,3253.0,62.809,1.998,22.227,14.27,12.635,140.166,3307.011,7869.15,8512231.275,1081.722,0.363,114.799,4,193.471,14.27,12.635,0.798,75.992,0,2,2,5
24,B,7,8,212.626,193420.423,0.865,86,507351.631,886.946,1278032.238,1.283,26508.575,31,258723.235,0.686,3191.0,38.333,1.167,13.271,19.651,19.515,80.171,3227.159,6444.242,6459684.607,1002.396,0.65,55.205,2,139.185,19.651,19.515,1.306,54.291,0,0,2,5
25,B,7,9,324.274,437674.584,0.858,123,1298781.207,445.744,436262.088,1.248,86037.064,102,469366.832,0.71,4303.0,43.866,1.255,17.107,25.702,29.202,108.69,4318.409,8995.655,12877794.063,1431.557,0.711,98.873,4,159.024,25.702,29.202,0.676,56.725,0,0,2,5
26,B,7,10,135.625,108320.571,0.896,50,313102.018,1129.782,1453604.746,1.337,22969.539,27,521967.076,0.805,3074.0,51.245,1.072,17.852,18.716,21.732,168.263,3102.088,7702.598,7870757.648,1021.832,0.609,110.139,6,145.188,18.716,21.732,0.811,45.777,0,4,2,5
27,B,7,11,150.624,138905.527,0.92,49,463171.622,1342.514,1474495.15,1.385,88611.135,107,562856.077,0.882,3523.0,47.69,1.054,17.507,22.831,22.884,159.707,3524.296,6855.54,12374610.774,1805.053,0.571,131.458,5,199.353,22.831,22.884,1.119,58.323,0,3,2,5
28,B,7,12,38.976,42650.617,0.875,18,93854.502,37.497,31557.843,1.318,89123.133,108,476940.153,0.672,2986.5,54.593,1.264,19.992,24.503,21.004,159.285,2994.259,7310.153,8685103.545,1188.088,0.697,79.396,3,146.345,24.503,21.004,0.958,45.438,0,1,2,5
29,B,7,13,106.155,140327.657,0.878,41,363503.644,363.25,376802.031,1.364,85533.378,104,471336.346,0.791,2914.0,50.453,1.146,20.225,13.444,12.751,160.236,2941.522,7338.748,7444702.679,1014.438,0.448,94.496,3,168.597,13.444,12.751,1.077,76.469,0,1,2,5
30,B,7,14,164.989,126824.226,0.855,55,440038.027,346.878,328268.623,1.285,107070.293,130,460855.337,0.693,2944.0,53.233,1.244,19.355,18.758,20.419,156.222,2950.008,7226.569,7692716.329,1064.505,0.512,95.897,4,161.564,18.758,20.419,0.683,57.8,0,0,2,5
31,B,7,15,86.086,69552.894,0.897,41,151322.124,596.156,708586.435,1.359,29696.657,35,477152.885,0.609,2829.0,58.759,1.548,22.753,25.237,30.961,167.207,2853.668,6439.254,6677775.408,1037.042,0.79,66.242,3,128.439,25.237,30.961,0.706,45.734,0,1,2,5
32,B,7,16,25.034,25215.366,0.743,7,92040.048,527.71,835319.535,1.35,33135.783,39,455691.57,0.767,3053.0,49.348,1.159,18.154,13.329,11.136,148.617,3066.222,6971.458,7615551.99,1092.39,0.344,86.045,2,199.647,13.329,11.136,1.38,81.529,0,0,2,5
33,B,7,1,387.227,308754.224,0.855,127,956244.651,327.548,350094.033,1.057,100355.318,108,222304.667,0.64,2573.0,41.087,1.287,13.756,22.831,22.953,85.98,2585.538,6047.861,9340751.309,1544.472,0.377,138.95,5,226.947,22.831,22.953,0.885,82.391,0,3,3,5
34,B,7,2,391.769,289775.956,0.831,103,1279667.443,265.123,335608.508,1.083,98427.766,101,474634.641,0.813,2936.5,50.178,1.093,18.281,17.924,19.458,162.876,2914.082,6257.404,7217554.928,1153.442,0.379,141.876,9,195.44,17.924,19.458,0.703,67.133,0,1,3,5
35,B,7,3,420.605,497699.312,0.814,149,1509559.056,474.58,556878.563,1.061,109817.008,111,455685.443,0.792,3101.0,48.175,1.166,18.228,21.775,22.928,146.187,3117.137,9228.08,12228970.304,1325.191,0.51,111.458,5,180.702,21.775,22.928,0.851,58.434,0,3,3,5
36,B,7,4,282.762,223390.631,0.798,78,960772.44,353.743,519130.791,1.322,55385.435,62,463335.871,0.691,3193.0,50.747,1.319,18.835,10.673,9.957,141.54,3273.542,7861.142,9074015.982,1154.287,0.198,143.645,5,270.587,10.673,9.957,0.793,60.803,0,3,3,5
37,B,7,5,334.836,294548.868,0.864,111,1056534.769,411.099,467985.765,1.292,87560.519,97,528980.258,0.752,3204.0,52.135,1.172,18.152,14.955,14.625,162.559,3254.075,6765.077,9925404.7,1467.153,0.324,136.638,5,238.586,14.955,14.625,1.036,82.592,0,1,3,5
38,B,7,6,337.794,318915.522,0.855,142,787436.258,821.669,1261437.351,1.17,51561.007,56,523712.766,0.839,3415.0,47.917,1.133,18.688,18.94,17.569,153.264,3417.059,7255.132,11018362.579,1518.699,0.388,123.877,4,221.904,18.94,17.569,0.959,71.505,0,2,3,5
39,B,7,7,172.066,178400.666,0.889,72,454051.189,367.052,469235.433,1.267,50884.1,57,505283.568,0.874,3241.0,47.144,1.024,16.607,12.675,12.675,154.637,3267.54,6919.101,7318641.999,1057.745,0.358,111.683,4,192.7,12.675,12.675,0.926,70.635,0,2,3,5
40,B,7,8,88.938,111293.488,0.94,45,233334.512,805.086,1052822.734,1.393,69144.33,78,549012.446,0.897,3170.0,49.121,1.044,17.749,16.25,15.561,172.277,3186.801,5833.749,9651525.001,1654.429,0.302,170.765,6,262.506,16.25,15.561,1.119,96.641,0,2,3,5
41,B,7,9,130.66,157596.865,0.961,65,349755.499,173.65,185695.972,1.308,58642.939,66,480208.451,0.64,3785.0,49.314,1.225,17.712,14.761,14.038,123.9,3875.775,8083.985,9956283.681,1231.606,0.371,116.015,4,204.373,14.761,14.038,1.066,61.47,0,2,3,5
42,B,7,10,110.063,115184.181,0.984,40,350406.159,438.667,559070.315,1.262,43218.43,48,397934.425,0.744,3146.0,46.003,1.059,15.692,14.3,15.853,125.273,3176.535,7794.889,7871201.808,1009.79,0.385,128.724,6,181.524,14.3,15.853,1.132,73.796,0,2,3,5
43,B,7,11,53.658,64199.545,0.966,25,137700.097,783.432,853803.448,1.32,98599.689,112,488710.546,0.908,3462.0,44.34,1.036,17.064,18.643,17.0,142.068,3439.982,7058.252,9564520.172,1355.083,0.521,112.598,4,180.72,18.643,17.0,0.799,67.242,0,2,3,5
44,B,7,12,4.225,1975.8,0.544,1,8347.88,105.204,99762.196,1.35,73018.305,83,463391.959,0.881,3226.0,44.987,1.041,17.126,18.643,17.113,141.857,3266.625,5371.851,8390296.157,1561.9,0.355,143.283,5,235.138,18.643,17.113,0.744,88.833,0,3,3,5
