,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,229.949,121068.635,0.788,25,1534199.52,280.544,2562533.576,0.825,98458.929,17,451378.097,0.85,2717.0,49.569,1.001,18.095,11.022,9.658,166.151,2716.68,21330.968,23191336.534,1087.214,0.28,105.103,2,220.866,11.022,9.658,1.881,99.776,0,0,1,0
1,B,2,1,454.194,536070.891,0.868,119,2534841.666,756.603,5374143.299,0.947,122714.494,28,829656.894,0.668,3448.0,65.869,1.218,23.198,22.982,26.053,230.794,3594.793,21762.409,38344430.633,1761.957,0.514,116.177,4,207.58,22.982,26.053,1.008,81.41,0,2,2,0
2,B,2,2,154.954,91496.218,0.906,74,187547.606,752.061,5472430.209,0.954,140889.732,33,232585.514,0.617,2518.0,43.257,1.264,13.883,15.094,16.087,91.895,2530.989,24028.656,40065891.722,1667.421,0.355,114.574,2,242.978,15.094,16.087,1.606,109.533,0,0,2,0
3,B,2,3,35.385,23243.814,0.966,17,54130.033,133.618,857744.059,0.983,90927.016,21,435956.932,0.803,2973.0,47.556,1.172,19.145,13.703,13.09,144.603,3014.858,21115.957,22366515.436,1059.223,0.413,95.907,4,179.607,13.703,13.09,1.055,77.607,0,0,2,0
4,B,2,1,190.339,82423.56,0.87,56,391464.058,357.229,1719947.672,1.111,62389.872,19,476614.084,0.722,2838.5,53.23,1.3,21.174,12.983,12.574,162.876,2926.235,9168.694,12606414.968,1374.941,0.31,132.97,4,235.903,12.983,12.574,0.886,99.848,0,2,4,0
5,B,2,2,442.787,328956.56,0.773,65,2823422.05,714.141,5599996.175,0.813,94463.9,22,435698.253,0.808,3604.0,43.086,1.159,17.516,10.772,9.773,119.358,3650.347,19627.547,29061988.05,1480.673,0.214,162.108,4,295.082,10.772,9.773,1.055,129.994,0,0,4,0
6,B,2,3,94.958,64415.433,0.934,50,123868.824,524.542,2806933.846,0.98,126009.349,34,740498.444,0.396,3482.0,81.496,1.571,23.512,22.425,25.438,209.035,3542.461,25652.908,33656301.896,1311.988,0.619,94.468,5,163.193,22.425,25.438,1.516,60.953,0,1,4,0
7,B,2,1,78.692,63595.57,0.942,45,113710.398,427.788,2068960.299,1.069,132445.065,35,1300523.94,0.687,7544.0,57.486,1.347,24.062,20.054,22.486,180.727,7196.065,34488.434,34895295.71,1011.797,0.7,56.365,2,134.783,20.054,22.486,0.839,55.022,0,0,5,0
8,B,2,2,118.196,63447.639,0.923,62,124814.921,224.351,1069045.816,0.921,239153.956,59,266257.051,0.747,2828.0,39.779,1.14,13.753,18.688,20.448,94.113,2829.112,19265.633,37357850.872,1939.093,0.27,181.515,6,300.656,18.688,20.448,1.578,115.174,0,2,5,0
9,B,2,3,135.836,84125.405,0.933,60,221332.057,402.437,2153758.8,1.061,112385.465,29,491957.824,0.861,3589.0,44.051,1.064,17.368,23.981,26.557,132.984,3699.38,21988.171,22198793.307,1009.579,0.727,78.537,4,132.138,23.981,26.557,0.759,45.46,0,0,5,0
10,B,2,4,393.776,232970.073,0.882,92,1307902.591,625.521,3535872.622,0.967,299767.782,74,437649.387,0.663,3069.5,51.405,1.491,21.893,13.406,12.444,139.427,3138.912,10524.132,30776535.774,2924.378,0.156,249.425,3,485.496,13.406,12.444,1.71,212.078,0,1,5,0
11,B,2,5,329.661,395136.186,0.867,119,1305154.715,779.947,5885124.26,1.017,143914.37,37,506676.783,0.82,2932.5,51.663,1.083,19.397,22.143,21.544,174.073,2910.721,29851.57,46782832.728,1567.182,0.498,122.443,4,198.914,22.143,21.544,0.822,87.627,0,0,5,0
12,B,2,1,433.703,222567.916,0.851,124,917291.574,547.357,2197972.609,0.929,143217.955,53,483256.728,0.445,2567.0,72.956,1.392,21.227,9.877,8.722,188.543,2563.105,7256.782,14163554.576,1951.768,0.179,218.966,5,370.06,9.877,8.722,1.367,160.76,0,1,6,0
13,B,2,1,176.713,81892.407,0.903,73,210261.441,306.423,2031540.497,0.952,260049.491,52,583051.035,0.42,2784.5,79.818,1.415,21.778,11.738,10.746,212.732,2740.778,13131.039,19587028.236,1491.659,0.199,215.55,11,306.808,11.738,10.746,0.955,119.611,0,5,7,0
14,B,2,2,91.156,50268.507,0.916,44,108430.336,265.968,1590803.434,0.998,248915.595,52,539428.418,0.775,3156.0,52.235,1.148,20.042,11.454,10.097,168.369,3203.851,20996.548,23087231.5,1099.573,0.373,119.938,4,192.562,11.454,10.097,0.769,77.728,0,0,7,0
15,B,2,3,241.674,151786.285,0.859,50,885114.442,440.991,2725635.916,1.023,219234.667,46,425074.225,0.786,2534.5,51.608,1.171,20.155,19.458,10.391,166.679,2550.26,18819.308,32830822.111,1744.529,0.714,129.428,5,175.271,19.458,10.391,0.852,62.062,0,1,7,0
16,B,2,1,249.701,175898.283,0.93,122,370762.62,371.806,769971.853,1.096,225595.933,129,190550.358,0.682,2501.0,37.483,1.426,14.32,19.324,16.546,76.262,2498.615,12816.221,27081441.427,2113.06,0.28,221.875,9,308.187,19.324,16.546,0.959,84.137,0,7,8,0
17,B,2,2,10.88,12682.342,0.931,6,24408.191,383.319,1051399.416,1.241,31979.091,20,428439.911,0.705,2417.0,56.252,1.401,22.884,15.442,17.289,177.558,2412.954,15410.125,16259283.398,1055.104,0.547,74.72,2,155.741,15.442,17.289,1.041,69.208,0,0,8,0
18,B,2,1,7.183,8959.795,0.853,3,25947.065,319.732,394559.656,1.332,148614.073,142,151726.779,0.783,1984.0,35.134,1.091,12.369,20.332,22.019,76.896,1973.139,11652.618,20519105.102,1760.901,0.558,94.589,2,199.085,20.332,22.019,1.128,89.388,0,0,9,0
19,B,2,1,14.576,14006.654,0.885,10,22465.824,43.624,114699.485,1.135,38044.893,16,390792.906,0.771,2632.0,49.254,1.21,19.602,13.782,13.819,148.933,2623.943,9810.889,18184828.463,1853.535,0.29,159.075,4,283.323,13.782,13.819,1.44,124.774,0,0,10,0
20,B,2,2,34.223,194294.431,0.839,18,411759.044,213.049,705180.4,1.188,22034.962,9,339828.713,0.758,2655.0,45.903,1.222,19.397,16.277,17.008,127.174,2672.147,19880.991,23322169.107,1173.089,0.553,77.799,2,163.273,16.277,17.008,1.085,73.956,0,0,10,0
21,B,2,3,34.54,52380.263,1.107,9,183291.066,213.049,726725.688,1.327,32262.992,13,347633.567,0.654,2464.0,52.121,1.522,21.655,17.37,15.246,141.434,2457.921,15381.346,23515603.916,1528.839,0.46,95.828,2,204.443,17.37,15.246,1.124,89.37,0,0,10,0
22,B,2,1,7.605,6109.143,0.795,2,24139.9,109.852,303291.316,1.348,61025.827,26,569426.79,0.783,3280.0,52.33,1.144,20.75,21.726,23.625,170.693,3335.979,14732.488,18217759.029,1236.57,0.652,88.047,3,154.397,21.726,23.625,0.971,64.71,0,1,11,0
23,B,2,2,134.568,154304.165,0.932,38,572956.091,677.806,2122553.644,1.329,139752.491,57,299909.469,0.676,2706.0,45.455,1.268,17.522,27.617,21.166,111.225,2696.426,13528.706,42971187.262,3176.297,0.34,217.869,6,342.873,27.617,21.166,1.005,129.085,0,2,11,0
24,B,2,3,335.681,306967.344,0.794,65,1976830.997,621.718,3890008.456,0.984,60160.056,13,432138.743,0.705,2895.5,51.218,1.103,17.436,13.658,12.569,147.243,2934.859,18184.366,18452668.961,1014.755,0.382,111.858,4,182.623,13.658,12.569,0.848,75.591,0,0,11,0
25,B,2,1,499.508,414232.366,0.8,135,1782649.513,656.997,1161009.813,1.117,78023.843,67,308597.784,0.791,2780.0,41.423,1.139,16.641,22.522,23.47,108.056,2855.906,13143.099,21282036.415,1619.256,0.574,141.905,6,188.258,22.522,23.47,0.891,70.752,0,0,12,0
26,B,2,2,36.969,87705.247,1.029,22,134638.299,585.594,941886.407,1.292,60069.986,56,358776.221,0.723,2638.0,48.67,1.07,16.527,13.883,12.145,136.258,2633.06,9042.943,22208777.977,2455.924,0.22,187.288,2,374.215,13.883,12.145,1.384,172.831,0,0,12,0
27,B,2,3,3.908,8516.782,0.856,2,17187.452,515.141,774040.166,1.37,53632.837,51,339878.146,0.838,2550.0,44.633,1.08,16.994,22.057,25.709,132.878,2557.816,16981.366,25057760.604,1475.603,0.575,99.255,3,179.542,22.057,25.709,1.085,77.132,0,1,12,0
28,B,2,4,4.964,4799.111,0.905,3,9008.046,408.669,620248.282,1.342,66642.493,63,315426.437,0.708,2678.0,45.763,1.261,17.383,13.476,13.159,117.985,2673.448,12894.91,15709830.278,1218.297,0.39,98.486,2,198.116,13.476,13.159,1.145,91.728,0,0,12,0
