,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,1.901,1397.222,0.965,2,1328.254,368.214,1053154.824,1.284,44549.774,23,332654.872,0.79,1920.0,52.795,1.182,21.31,21.862,22.105,175.235,1898.341,12230.391,16066793.313,1313.678,0.619,94.165,3,163.28,21.862,22.105,1.3,65.233,0,1,1,1
1,B,3,2,153.687,71257.228,0.875,40,375075.037,554.54,2963796.929,1.044,61449.073,24,391995.993,0.901,2908.0,43.796,0.983,16.377,21.251,25.561,137.526,2850.345,15734.699,16626673.467,1056.688,0.705,85.92,4,137.211,21.251,25.561,0.754,51.003,0,0,1,1
2,B,3,3,12.675,6567.639,0.993,9,9284.788,326.914,944463.696,1.065,54480.433,25,371216.709,0.763,2308.5,51.534,1.215,21.141,14.736,13.322,161.186,2303.031,9593.946,10191520.211,1062.287,0.468,94.106,3,168.809,14.736,13.322,1.141,75.206,0,1,1,1
3,B,3,4,398.001,181024.282,0.919,155,530075.5,828.112,2331883.881,1.024,308027.165,135,368305.851,0.491,1992.0,68.695,1.384,20.977,32.63,37.946,184.53,1995.917,10621.784,31758832.905,2989.972,0.391,269.755,9,309.944,32.63,37.946,0.956,106.169,0,3,1,1
4,B,3,5,20.069,12085.336,0.98,16,15212.024,418.281,1228519.46,1.065,118163.43,55,457802.94,0.793,2358.5,55.343,1.12,21.105,13.157,9.826,193.297,2368.396,12417.245,16063057.406,1293.609,0.321,121.989,3,224.863,13.157,9.826,0.953,97.674,0,1,1,1
5,B,3,6,3.38,1244.367,1.005,2,2127.108,239.561,631012.687,1.176,72704.37,37,356311.847,0.764,2504.0,48.983,1.195,20.287,19.581,20.702,145.87,2442.662,8730.178,9182658.522,1051.83,0.66,79.282,3,141.481,19.581,20.702,1.073,54.881,0,1,1,1
6,B,3,7,91.05,50607.91,0.938,46,110996.323,482.397,2701267.123,1.082,78953.449,29,444761.225,0.77,2494.0,53.387,1.206,21.052,20.855,22.396,174.601,2547.304,16995.176,17078984.88,1004.931,0.645,91.407,5,139.94,20.855,22.396,0.954,50.338,0,1,1,1
7,B,3,8,0.951,596.667,0.965,1,567.215,801.178,2831522.236,1.361,45490.817,23,538609.6,0.803,2758.0,55.278,1.124,21.352,17.403,15.933,195.304,2757.807,11530.384,17249330.563,1495.989,0.58,106.138,3,180.018,17.403,15.933,1.018,63.691,0,1,1,1
8,B,3,9,1.901,1257.556,0.965,2,1195.482,333.569,820969.213,1.384,60619.418,32,410200.946,0.863,2436.0,50.028,1.077,18.955,19.138,20.702,171.854,2386.909,10801.176,14919435.525,1381.279,0.489,110.567,4,188.44,19.138,20.702,1.342,81.679,0,2,1,1
9,B,3,10,1.901,1398.444,0.826,1,2658.832,588.551,1728201.967,1.298,60775.797,32,287743.188,0.742,1843.0,51.372,1.18,19.41,10.486,8.125,155.799,1846.885,6154.455,9626296.091,1564.118,0.173,181.783,3,337.355,10.486,8.125,0.956,151.011,0,1,1,1
10,B,3,1,45.842,23569.753,0.974,31,35251.183,495.917,1748464.314,1.186,100966.387,43,712910.365,0.852,3342.0,56.885,1.066,22.466,15.29,15.824,219.492,3248.001,17030.143,18972321.336,1114.044,0.502,82.132,2,167.02,15.29,15.824,0.995,75.929,0,0,2,1
11,B,3,2,24.611,14676.734,0.989,21,17387.931,441.097,1221198.059,1.028,138377.34,59,419757.723,0.487,1999.0,73.683,1.417,21.755,19.765,20.156,210.514,1993.968,10043.7,12851521.035,1279.56,0.562,99.73,3,169.121,19.765,20.156,0.827,63.216,0,1,2,1
12,B,3,3,34.329,18308.129,0.964,25,25598.708,485.354,1493153.03,1.119,217469.674,88,433806.481,0.851,2355.5,52.687,1.049,19.548,29.578,30.204,188.015,2307.293,11721.522,17854702.819,1523.241,0.712,128.297,5,163.993,29.578,30.204,0.893,54.016,0,1,2,1
13,B,3,4,23.027,13655.365,0.967,21,15111.995,268.925,703411.366,1.089,137134.082,59,400601.813,0.874,2180.0,52.229,1.007,18.758,21.381,17.481,189.705,2111.705,8226.234,12303750.757,1495.672,0.498,162.43,7,194.316,21.381,17.481,1.003,68.635,0,1,2,1
