,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,0.951,794.667,0.965,1,755.441,191.712,500479.037,1.097,13614.712,7,239044.368,0.802,1394.5,51.653,1.025,19.982,16.694,16.842,170.27,1403.913,9716.357,10922970.999,1124.184,0.558,76.229,2,159.132,16.694,16.842,1.017,69.004,0,0,1,0
1,B,2,2,25.034,16722.616,0.936,15,28313.945,357.652,1495460.759,1.023,152284.286,54,478132.254,0.783,2150.0,59.809,1.259,24.511,13.819,10.855,222.978,2144.305,12606.735,20275038.824,1608.27,0.307,126.588,2,256.508,13.819,10.855,1.269,118.211,0,0,1,0
2,B,2,3,8.556,7032.997,0.952,7,8597.898,346.35,940823.381,1.021,104573.982,47,303456.621,0.848,1469.5,56.116,1.047,21.862,16.705,15.893,212.521,1427.892,14377.752,21707909.706,1509.826,0.411,120.437,3,214.915,16.705,15.893,1.377,91.634,0,1,1,0
3,B,2,4,7.077,6115.325,0.884,5,8719.58,479.967,1602420.668,1.07,132862.428,53,363505.546,0.828,1586.0,58.629,1.035,20.603,23.706,24.429,226.463,1605.14,13023.745,21782100.868,1672.491,0.59,97.962,4,188.765,23.706,24.429,0.677,74.236,0,0,1,0
4,B,2,5,2.958,2302.281,0.952,2,3356.813,367.158,1235426.699,1.059,117579.654,49,485512.278,0.814,1950.0,61.788,1.106,23.844,17.516,19.054,247.377,1962.637,13303.346,21065157.574,1583.448,0.443,124.896,4,211.925,17.516,19.054,0.937,87.436,0,0,1,0
5,B,2,6,47.849,43571.802,0.968,39,53610.034,432.118,1549870.703,0.965,149776.608,60,500324.928,0.966,1554.0,64.401,0.955,21.669,23.47,23.33,318.781,1569.494,12211.735,22093131.232,1809.172,0.507,180.801,6,211.839,23.47,23.33,0.871,70.419,0,0,1,0
6,B,2,7,50.806,38509.029,0.979,37,53151.72,413.845,1349551.048,0.99,296607.288,102,319534.783,0.664,1370.0,66.543,1.173,22.076,26.199,26.259,233.963,1365.75,9470.43,20647794.301,2180.238,0.485,142.834,4,237.57,26.199,26.259,1.254,80.318,0,2,1,0
7,B,2,8,46.476,41681.585,0.99,33,59345.135,741.287,3158828.495,1.08,139197.655,54,350859.403,0.735,1424.0,64.237,1.183,23.488,26.558,27.371,241.462,1453.06,16365.122,24001498.985,1466.625,0.629,136.802,7,171.215,26.558,27.371,0.464,62.94,0,1,1,0
8,B,2,9,14.048,10801.085,0.964,9,16926.977,355.962,1719402.638,1.071,66455.055,28,607084.463,0.797,3148.0,53.381,0.998,20.628,17.086,18.85,180.727,3359.123,14185.756,16097235.74,1134.746,0.551,73.759,2,160.873,17.086,18.85,1.027,67.257,0,0,1,0
9,B,2,10,28.308,18954.668,0.945,19,28127.409,279.805,862856.491,1.052,134772.527,57,297497.275,0.875,1336.0,55.822,1.055,22.062,28.283,31.48,216.851,1371.895,10578.172,19047228.964,1800.616,0.561,140.012,5,200.81,28.283,31.48,0.973,68.133,0,3,1,0
10,B,2,11,20.703,14871.764,0.951,15,21127.007,275.685,930942.648,0.974,155095.451,61,301976.37,0.838,1322.0,58.199,1.105,22.077,16.628,18.572,225.935,1336.561,6795.807,9588611.589,1410.96,0.441,104.913,3,200.458,16.628,18.572,0.965,85.104,0,1,1,0
11,B,2,1,12.992,11866.213,0.969,11,14168.856,234.914,721396.722,0.897,77622.76,32,334165.016,0.849,1633.0,56.155,1.042,21.052,14.934,15.63,213.154,1567.713,10763.019,16916490.95,1571.724,0.317,131.631,4,249.77,14.934,15.63,1.573,114.012,0,0,2,0
12,B,2,2,31.688,26012.123,0.917,21,40669.826,555.068,1976902.083,1.09,112554.818,56,353514.538,0.85,1732.0,55.104,1.049,21.15,16.659,18.281,205.444,1720.737,10855.282,17403191.104,1603.2,0.376,133.66,4,231.449,16.659,18.281,1.488,96.337,0,2,2,0
13,B,2,3,4.542,3308.357,1.146,2,7474.982,558.342,1703827.365,1.273,87731.368,55,611884.346,0.823,2202.0,66.008,1.064,25.892,11.58,9.449,285.297,2144.725,12805.09,24163446.615,1887.019,0.197,174.143,2,346.99,11.58,9.449,1.019,162.331,0,0,2,0
14,B,2,1,38.131,23049.646,0.893,20,41629.972,485.037,1273687.394,1.057,42671.82,27,334261.347,0.753,1621.0,57.713,1.14,23.87,10.593,7.436,199.634,1674.369,18049.093,19220970.224,1064.927,0.268,122.577,3,223.378,10.593,7.436,0.955,101.892,0,1,3,0
15,B,2,2,91.261,67659.377,0.943,58,106847.205,511.338,1867579.625,1.017,233728.038,103,385147.905,0.895,1467.0,61.408,1.039,24.058,26.863,25.641,268.714,1433.3,11246.927,23514767.565,2090.773,0.584,116.462,3,212.168,26.863,25.641,1.074,72.634,0,1,3,0
16,B,2,3,36.758,32914.202,0.971,24,50858.884,612.106,1844835.686,1.029,62664.324,36,339079.926,0.945,1502.0,54.622,0.917,18.958,13.474,13.795,224.351,1511.382,15787.718,19929519.69,1262.343,0.37,100.039,2,207.138,13.474,13.795,0.988,94.361,0,0,3,0
17,B,2,4,4.753,4215.741,0.964,3,6752.179,370.961,981395.925,1.1,36943.606,23,445548.671,0.835,1979.0,57.633,1.0,22.673,10.912,11.454,220.76,2018.253,16375.709,16589650.609,1013.065,0.314,100.85,2,201.357,10.912,11.454,1.084,92.027,0,0,3,0
18,B,2,5,2.746,994.0,0.946,1,2729.813,379.833,852600.361,1.223,56305.42,41,479077.296,0.866,1916.0,61.712,1.029,23.827,22.019,18.405,262.482,1825.181,10614.47,15515875.047,1461.766,0.42,142.978,6,209.187,22.019,18.405,0.943,85.543,0,0,3,0
19,B,2,6,7.605,2708.381,0.94,2,11036.922,328.604,718943.227,1.342,30365.047,22,282840.636,0.865,1623.0,51.347,0.98,20.155,17.991,19.054,181.572,1557.732,12231.074,12237128.585,1000.495,0.588,68.576,2,146.225,17.991,19.054,1.239,64.911,0,0,3,0
20,B,2,7,1.901,2647.111,0.965,2,2516.448,665.447,1532902.426,1.325,50734.098,37,294268.27,0.886,1249.0,58.517,0.983,21.904,19.409,21.647,241.357,1219.225,13122.756,27382641.442,2086.653,0.416,134.032,3,250.914,19.409,21.647,1.284,110.353,0,1,3,0
21,B,2,8,3.486,3523.3,0.982,3,4021.098,631.753,1414356.232,1.304,39420.762,29,449500.69,0.883,1761.0,61.154,0.983,23.285,14.612,10.741,262.905,1709.748,12898.008,28123457.083,2180.45,0.261,160.176,2,324.034,14.612,10.741,1.024,151.397,0,0,3,0
22,B,2,1,2.852,2921.111,0.965,3,2776.923,359.87,821609.627,0.951,24720.749,16,383460.203,0.9,1625.0,57.953,0.984,21.595,24.312,24.402,240.617,1593.651,8307.152,13817301.548,1663.302,0.591,104.235,3,188.025,24.312,24.402,0.874,66.448,0,1,4,0
23,B,2,2,18.062,15155.703,0.959,14,19587.922,318.992,701685.85,1.132,73185.174,46,323030.495,0.799,1588.0,56.591,1.164,22.647,20.486,22.928,203.648,1586.219,11143.066,15072712.902,1352.654,0.523,93.604,3,180.286,20.486,22.928,1.138,65.751,0,1,4,0
24,B,2,3,129.287,100562.224,0.969,79,183891.025,1058.378,3170823.872,1.042,215487.946,99,362629.796,0.91,1354.5,61.253,1.028,22.626,30.74,25.961,271.672,1334.809,10141.923,32513711.141,3205.872,0.461,264.501,8,295.501,30.74,25.961,0.93,90.081,0,4,4,0
25,B,2,4,14.365,12540.964,0.982,10,18045.14,445.322,1506519.335,1.1,73560.631,42,518764.055,0.854,2010.0,60.356,1.015,21.945,28.612,35.193,247.483,2096.16,11049.359,16877520.338,1527.466,0.64,134.796,6,173.241,28.612,35.193,0.895,59.303,0,0,4,0
26,B,2,5,38.342,26797.266,0.98,26,40600.218,347.723,726211.076,0.984,221679.986,123,337977.502,0.884,1327.0,60.177,1.039,22.542,21.453,22.132,254.877,1326.042,9998.226,20493201.978,2049.684,0.372,155.18,4,262.975,21.453,22.132,1.049,109.555,0,2,4,0
27,B,2,6,43.835,30637.198,0.969,26,53217.842,719.634,1752542.768,1.046,269938.504,154,330635.609,0.351,1406.0,92.024,2.007,23.037,17.616,14.011,236.815,1396.178,11383.056,37925829.733,3331.779,0.234,225.239,3,422.857,17.616,14.011,0.941,190.296,0,1,4,0
28,B,2,7,134.357,88758.063,0.912,55,248672.759,288.783,931072.146,0.967,190373.447,82,328963.329,0.913,1559.5,54.02,1.05,20.686,17.629,17.113,212.098,1550.996,9340.863,12252138.968,1311.671,0.505,80.862,2,180.628,17.629,17.113,1.534,74.688,0,0,4,0
29,B,2,8,18.802,15015.09,1.049,12,26616.632,511.972,1230467.848,1.052,105723.656,64,584980.516,0.854,2279.0,60.833,1.067,23.398,18.554,20.879,251.497,2325.995,11105.472,22910508.401,2062.993,0.335,162.625,5,278.173,18.554,20.879,1.865,115.936,0,1,4,0
30,B,2,9,24.717,16294.672,0.97,12,36336.707,388.706,1128199.132,1.198,30766.289,21,310638.067,0.899,2275.0,42.712,0.948,16.102,11.131,10.422,130.449,2381.302,14651.518,18628338.013,1271.427,0.265,120.316,2,245.473,11.131,10.422,0.99,113.27,0,0,4,0
31,B,2,10,6.654,3416.977,0.866,3,7329.429,395.783,933117.394,1.15,31803.635,21,612986.137,0.918,2223.5,61.282,0.964,22.452,16.358,17.113,274.207,2235.49,13158.866,21124097.103,1605.313,0.437,116.219,3,214.779,16.358,17.113,1.248,97.225,0,1,4,0
32,B,2,11,2.535,1111.917,0.93,1,2818.751,770.123,1474479.517,1.326,103423.832,76,304131.998,0.953,1256.0,57.026,0.932,19.602,18.483,17.174,246.532,1233.639,10890.571,27325028.689,2509.054,0.381,185.63,5,287.684,18.483,17.174,1.295,100.463,0,1,4,0
33,B,2,12,3.486,994.03,0.812,1,3464.869,630.908,1566710.749,1.345,59078.592,43,482676.204,0.966,1925.0,58.252,0.918,20.448,19.778,20.218,260.792,1850.809,10589.526,19746624.618,1864.732,0.505,125.299,3,215.443,19.778,20.218,0.892,78.138,0,1,4,0
