,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,66.228,1300096.409,0.94,41,2091701.386,738.752,1094547.348,1.103,66167.787,68,444707.144,0.817,2491.0,52.365,1.123,20.363,16.2,13.361,178.298,2494.184,10739.392,20409500.832,1900.434,0.325,154.922,4,271.145,16.2,13.361,1.331,118.839,0,0,1,0
1,B,2,2,51.863,933269.599,0.995,30,1613946.324,836.034,1530177.471,1.168,23657.165,25,750222.005,0.808,4111.5,53.325,1.082,20.892,17.922,18.243,182.945,4100.801,21564.954,28154008.833,1305.545,0.485,93.381,3,183.895,17.922,18.243,1.094,76.387,0,1,1,0
2,B,2,3,76.157,1409649.931,0.969,45,2403623.767,275.052,376911.355,0.935,91481.425,79,238914.342,0.728,2684.0,39.024,1.158,14.721,16.628,15.441,88.198,2708.835,9142.734,16869122.497,1845.085,0.319,189.569,8,269.694,16.628,15.441,1.05,78.547,0,2,1,0
3,B,2,4,25.984,505168.97,0.964,15,877466.549,892.65,1267427.012,1.085,40254.26,44,363012.058,0.705,2893.0,46.944,1.094,16.173,20.042,22.544,123.583,2937.392,10751.209,16565194.147,1540.775,0.5,104.677,3,196.825,20.042,22.544,0.937,73.087,0,1,1,0
4,B,2,1,87.248,1296069.931,0.943,50,2260340.249,857.477,1377774.365,1.197,26133.987,26,679524.97,0.864,3159.0,56.464,1.06,21.381,19.651,24.411,219.281,3098.881,11273.272,19217631.051,1704.707,0.507,120.961,4,205.478,19.651,24.411,0.765,87.175,0,0,2,0
5,B,2,2,176.713,2675261.718,0.898,91,5135934.121,961.308,1739367.436,1.038,39826.305,40,399157.053,0.283,2129.0,90.438,1.563,20.74,20.8,21.612,184.318,2165.585,10385.882,26229872.298,2525.532,0.351,190.988,5,300.581,20.8,21.612,0.936,112.339,0,3,2,0
6,B,2,3,91.684,1764451.214,0.942,63,2536961.274,931.415,1565717.543,1.007,30243.321,29,706027.737,0.959,2956.0,56.052,0.968,19.266,15.967,13.912,239.878,2943.279,13958.662,22932907.892,1642.916,0.371,147.993,4,235.815,15.967,13.912,0.775,100.115,0,0,2,0
7,B,2,4,63.482,947640.993,0.87,33,1842178.544,700.41,1069669.012,0.909,12002.818,12,374545.636,0.917,2639.0,43.986,0.959,16.459,11.141,11.686,141.223,2652.162,15641.809,16830868.139,1076.018,0.3,105.617,2,212.16,11.141,11.686,1.058,97.659,0,0,2,0
8,B,2,5,4.436,86234.889,1.027,3,127668.846,894.868,1100194.356,1.259,108942.048,123,429296.754,0.754,2034.5,59.161,1.168,22.898,20.155,20.8,209.986,2044.41,7712.717,22596444.864,2929.765,0.296,236.945,7,352.963,20.155,20.8,0.785,126.06,0,3,2,0
9,B,2,1,150.201,2183656.826,0.88,84,3895865.978,846.914,1690621.718,0.99,41099.296,31,503075.444,0.871,2414.0,55.209,1.004,19.723,19.054,18.243,211.359,2380.196,11824.0,23472367.575,1985.146,0.365,124.657,2,261.318,19.054,18.243,1.471,116.89,0,0,3,0
