,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
0,B,2,1,62.848,714626.722,0.859,23.0,1876646.083,1216.501,581048.989,1.349,58524.309,164.0,845364.095,0.869,2919.5,66.204,0.959,25.107,19.229,16.685,303.148,2788.616,15875.41,34927427.951,2200.096,0.353,176.577,5,279.709,19.229,16.685,1.046,118.407,0,1,1,0,,,,,,,,,,
1,B,2,2,86.086,1587035.875,0.902,44.0,3264084.964,652.772,404240.755,1.27,20350.908,56.0,327977.622,0.846,1628.5,55.0,0.926,19.112,20.204,21.483,203.648,1610.512,19335.295,24844836.845,1284.947,0.495,101.56,3,180.638,20.204,21.483,0.869,74.826,0,1,1,0,,,,,,,,,,
2,B,2,3,130.766,1570721.449,0.907,43.0,4745018.265,647.808,417255.218,1.212,15993.177,43.0,560412.195,0.936,2928.5,51.224,0.849,17.525,15.377,12.369,195.409,2867.891,17383.406,22961053.046,1320.86,0.42,94.127,2,198.881,15.377,12.369,1.0,84.486,0,0,1,0,,,,,,,,,,
3,B,2,4,90.944,1231199.676,0.843,32.0,3642965.832,367.897,211837.812,1.196,15916.703,43.0,288883.533,0.837,1632.0,52.214,0.982,19.836,19.543,19.266,181.678,1590.088,9904.236,11113257.608,1122.071,0.695,82.365,3,142.468,19.543,19.266,0.976,51.937,0,1,1,0,,,,,,,,,,
4,B,2,5,272.622,3774301.4,0.848,108.0,10097482.342,634.393,369457.604,1.086,29466.105,69.0,347750.812,0.781,1444.0,61.908,1.116,24.89,15.204,14.612,238.294,1459.338,12525.722,27451948.748,2191.646,0.265,181.803,4,322.114,15.204,14.612,1.321,143.834,0,0,1,0,,,,,,,,,,
5,B,2,6,228.893,3303896.727,0.806,104.0,7336594.187,514.93,306979.479,0.893,18644.977,45.0,353826.348,0.741,1648.0,60.817,1.036,20.795,17.813,17.383,218.013,1622.958,10198.733,17170404.689,1683.582,0.427,108.994,2,222.582,17.813,17.383,1.049,100.624,0,0,1,0,,,,,,,,,,
6,B,2,7,117.879,1353482.153,0.842,42.0,3763316.34,573.13,323078.661,1.291,27425.592,75.0,304791.424,0.937,1556.0,52.256,0.898,19.002,10.391,9.199,203.542,1497.434,15036.227,18493295.798,1229.916,0.22,126.713,3,265.352,10.391,9.199,1.087,117.084,0,1,1,0,,,,,,,,,,
7,B,2,8,116.4,1616796.41,0.856,50.0,3930609.203,417.119,223165.418,1.234,38674.215,106.0,517309.366,0.871,2487.0,55.54,0.992,21.857,15.632,17.927,213.683,2420.924,14156.082,19562468.577,1381.913,0.447,96.311,2,197.11,15.632,17.927,1.183,88.179,0,0,1,0,,,,,,,,,,
8,B,2,9,330.083,5062315.333,0.849,152.0,11417963.791,875.961,491913.777,1.01,38525.868,89.0,625947.998,0.876,1921.0,68.288,0.963,24.568,15.491,11.302,324.907,1926.543,13665.686,30392044.233,2223.968,0.24,189.102,4,341.24,15.491,11.302,0.82,134.88,0,0,1,0,,,,,,,,,,
9,B,2,10,36.758,643351.239,0.965,20.0,1170207.776,1326.776,599453.999,1.32,179980.065,505.0,663759.041,0.93,1618.0,75.41,0.948,27.219,20.812,15.289,420.816,1577.313,8696.204,45017233.247,5176.653,0.204,338.457,5,564.738,20.812,15.289,0.989,244.313,0,3,1,0,,,,,,,,,,
10,B,2,11,7.499,53093.536,1.009,2.0,208271.753,808.572,358842.66,1.327,128847.376,365.0,573319.024,0.783,1581.0,76.919,1.084,29.111,27.805,37.652,368.531,1555.687,10961.403,44386015.855,4049.301,0.438,206.191,4,340.875,27.805,37.652,0.982,131.199,0,2,1,0,,,,,,,,,,
11,B,2,12,204.071,2356839.137,0.802,75.0,6905795.846,517.993,338687.312,1.168,31133.89,79.0,304922.507,0.885,1350.0,58.146,1.013,21.893,13.883,14.653,238.188,1280.176,12490.83,20652000.563,1653.373,0.285,128.611,2,270.239,13.883,14.653,1.149,116.648,0,0,1,0,,,,,,,,,,
12,B,2,13,77.847,938954.018,0.857,26.0,2904214.029,499.508,316745.502,1.357,25457.625,69.0,307317.695,0.893,1794.5,49.909,0.961,18.483,11.749,10.613,177.03,1735.962,13371.916,16690682.649,1248.189,0.276,121.994,3,238.198,11.749,10.613,1.393,109.115,0,1,1,0,,,,,,,,,,
13,B,2,14,144.814,1356360.467,0.89,40.0,4583429.871,705.902,354078.479,1.27,43779.786,122.0,290294.387,0.773,1396.0,58.481,1.144,23.619,8.798,6.515,210.303,1380.366,12678.346,23691262.933,1868.64,0.117,225.302,2,448.925,8.798,6.515,1.477,213.532,0,0,1,0,,,,,,,,,,
