,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
0,B,3,1,264.489,3583546.372,0.846,129.0,7546281.019,640.52,444586.413,1.066,51553.138,101.0,295642.366,0.906,1290.0,56.371,0.972,20.536,18.525,17.225,229.21,1289.834,9567.626,25506423.252,2665.909,0.28,217.25,6,345.663,18.525,17.225,0.97,141.325,0,4,1,1,,,,,,,,,,
1,B,3,2,133.406,1904954.675,0.897,60.0,4270299.122,394.727,298360.455,0.924,29124.108,51.0,281366.405,0.903,1609.0,49.515,1.01,18.879,14.898,13.591,176.08,1597.951,15721.067,18389070.033,1169.709,0.391,130.847,6,194.013,14.898,13.591,0.932,81.964,0,2,1,1,,,,,,,,,,
2,B,3,3,133.618,1893565.854,0.827,52.0,5221248.818,472.785,442062.255,1.131,17965.107,37.0,322250.865,0.85,1826.0,50.689,1.013,19.561,14.292,16.585,173.861,1853.493,21500.749,23203325.257,1079.187,0.458,105.362,4,172.053,14.292,16.585,0.769,72.107,0,0,1,1,,,,,,,,,,
3,B,3,4,251.814,3068739.007,0.878,125.0,6195374.36,368.426,230864.117,0.927,75078.51,139.0,502495.026,0.889,2628.0,52.028,0.954,19.05,17.159,11.95,191.607,2622.535,11343.751,17967034.473,1583.871,0.387,144.467,5,226.773,17.159,11.95,1.274,91.123,0,3,1,1,,,,,,,,,,
4,B,3,5,93.902,2092802.418,0.908,52.0,3754765.234,871.208,623199.383,1.229,56003.192,118.0,495769.148,0.657,2285.0,63.287,1.215,22.959,22.896,21.415,209.458,2366.92,21529.364,38081628.734,1768.823,0.493,118.755,3,212.442,22.896,21.415,0.909,87.229,0,1,1,1,,,,,,,,,,
5,B,3,6,16.372,189737.032,0.852,6.0,515083.391,365.785,226256.158,1.214,54071.666,117.0,291973.85,0.892,1243.0,57.642,1.016,21.31,16.932,12.138,235.759,1238.444,14060.331,28179136.658,2004.159,0.326,170.395,5,277.99,16.932,12.138,1.099,115.363,0,3,1,1,,,,,,,,,,
6,B,3,1,282.129,4768655.893,0.9,141.0,9568214.04,939.76,602877.251,1.173,84223.079,175.0,635362.495,0.927,1373.5,79.694,0.987,28.307,19.603,20.424,468.348,1356.603,20245.423,54566954.395,2695.274,0.376,147.36,2,300.218,19.603,20.424,1.586,138.228,0,0,2,1,,,,,,,,,,
7,B,3,2,205.549,1520546.672,0.782,51.0,6134471.762,407.613,254818.854,1.179,40174.787,83.0,308833.648,0.82,1398.0,59.124,1.071,23.768,8.802,8.282,228.153,1353.623,12018.95,19351303.395,1610.066,0.132,212.958,4,392.206,8.802,8.282,1.313,179.417,0,0,2,1,,,,,,,,,,
8,B,3,3,113.443,1091085.833,0.798,34.0,3971347.792,255.722,215464.923,0.941,20477.123,38.0,286039.114,0.915,1647.0,49.123,0.894,17.362,10.578,10.102,175.657,1628.396,10046.073,10311023.171,1026.374,0.292,101.918,2,209.998,10.578,10.102,1.652,97.721,0,0,2,1,,,,,,,,,,
9,B,3,4,212.521,2761304.941,0.862,84.0,7307477.797,639.675,538382.82,0.939,42762.779,70.0,299779.443,0.716,1566.5,57.622,1.044,19.709,16.087,16.575,189.283,1583.765,14515.026,28463349.066,1960.958,0.315,167.662,5,279.551,16.087,16.575,1.333,114.283,0,3,2,1,,,,,,,,,,
10,B,3,5,256.567,3036112.105,0.877,113.0,7228453.585,551.688,378774.925,1.051,61776.771,119.0,422897.05,0.929,1524.0,62.372,0.965,22.486,18.243,21.949,287.727,1469.787,12123.285,24398150.364,2012.503,0.36,160.454,5,264.947,18.243,21.949,0.95,118.239,0,1,2,1,,,,,,,,,,
