,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,21.548,441388.998,0.9,15,636192.403,510.282,1094224.025,0.973,159952.803,94,339191.045,0.942,1456.0,56.42,0.96,19.579,25.778,29.529,238.716,1420.897,8476.252,14656348.117,1729.107,0.603,105.757,3,189.808,25.778,29.529,0.916,62.046,0,1,1,1
1,B,3,2,34.117,708216.043,0.951,21,1150885.082,175.34,393091.235,0.991,104034.655,59,395176.726,0.867,1439.0,63.803,1.034,23.354,21.602,25.948,280.755,1407.548,9963.327,14101002.724,1415.291,0.531,118.987,4,182.978,21.602,25.948,0.741,64.035,0,2,1,1
2,B,3,3,94.43,2020719.555,0.933,50,3905390.75,728.823,2582343.631,0.895,46186.039,21,545304.741,0.84,3438.0,49.304,1.029,19.36,13.753,15.25,162.559,3354.497,23007.168,25966351.61,1128.62,0.284,124.176,4,223.405,13.753,15.25,1.159,92.704,0,2,1,1
3,B,3,4,16.478,373296.496,0.943,10,614803.865,1380.223,3523575.153,1.19,156732.548,95,425153.34,0.89,1586.0,61.486,1.027,22.85,29.143,32.578,267.869,1587.169,14412.346,42398325.284,2941.806,0.558,147.708,3,257.284,29.143,32.578,1.137,101.577,0,1,1,1
4,B,3,5,3.169,68779.381,0.952,2,107131.024,834.873,1765634.338,1.07,206594.453,127,386031.26,0.914,1551.0,59.239,0.987,21.381,24.012,24.05,255.194,1512.698,9804.375,31493711.129,3212.21,0.414,187.46,4,312.292,24.012,24.05,1.09,109.586,0,2,1,1
5,B,3,6,3.38,76721.894,0.938,2,130612.553,973.455,2580489.25,1.148,77504.516,48,541399.727,0.896,1804.0,65.149,0.974,23.43,26.399,22.58,302.62,1789.04,13858.941,28738747.57,2073.661,0.563,117.863,3,215.132,26.399,22.58,1.047,67.561,0,1,1,1
6,B,3,7,2.535,71633.022,0.957,2,89741.614,704.318,1645973.889,1.149,109504.997,68,394844.848,0.873,1600.0,60.476,1.058,23.017,15.168,15.168,254.032,1554.312,13203.756,26165359.806,1981.66,0.282,159.326,4,296.998,15.168,15.168,1.639,131.683,0,0,1,1
7,B,3,8,10.035,153066.32,0.98,4,376618.452,734.844,1830331.36,0.99,69892.151,40,563677.641,0.938,2258.0,58.697,0.931,21.31,31.2,34.708,257.306,2190.687,14242.687,23644755.864,1660.133,0.698,98.213,3,172.9,31.2,34.708,0.931,68.219,0,1,1,1
8,B,3,9,37.497,1093272.978,0.967,25,1652144.383,1034.612,3501226.68,1.111,41148.411,25,423435.64,0.766,1731.5,63.442,1.176,24.648,14.833,13.819,245.265,1726.442,31003.055,56256875.703,1814.559,0.328,127.788,2,263.502,14.833,13.819,1.308,119.219,0,0,1,1
9,B,3,10,1.901,88823.0,0.965,2,84438.631,770.123,2464436.477,1.371,43393.683,27,312494.243,0.87,1734.5,50.813,0.985,19.405,21.45,14.939,178.72,1748.511,21100.428,26101080.537,1236.993,0.65,129.692,6,154.648,21.45,14.939,0.814,53.292,0,0,1,1
10,B,3,1,15.844,320863.81,0.917,9,546820.377,0.423,5152.887,1.407,36329.0,3,362194.72,0.87,1643.5,56.418,0.982,19.849,14.983,10.912,220.337,1643.821,15758.262,33304808.945,2113.482,0.284,184.746,4,305.565,14.983,10.912,1.105,127.785,0,2,2,1
11,B,3,1,119.781,1706827.894,0.87,51,4130225.385,586.967,1855824.548,1.106,42191.618,24,548208.944,0.693,2354.0,64.896,1.029,22.014,17.275,14.033,232.273,2360.194,17656.133,20264623.092,1147.738,0.566,71.117,2,159.639,17.275,14.033,1.327,64.874,0,0,3,1
12,B,3,2,233.012,4184858.241,0.885,125,7944163.054,1545.951,3772790.622,0.988,316048.486,188,734118.176,0.915,1669.0,78.091,0.978,26.727,19.266,17.441,444.265,1652.432,14783.777,51912494.953,3511.45,0.201,260.985,5,468.97,19.266,17.441,1.009,171.125,0,3,3,1
13,B,3,3,110.802,1568875.367,0.895,56,3149497.865,599.22,1508839.0,0.923,160915.541,90,369351.449,0.896,1558.5,58.333,0.987,21.116,19.679,18.192,242.73,1521.656,9999.689,24778170.732,2477.894,0.32,204.328,7,312.147,19.679,18.192,1.061,119.434,0,3,3,1
14,B,3,4,17.428,289002.957,0.96,11,463397.135,767.272,1780970.262,1.113,99911.663,62,315307.607,0.886,1578.0,53.65,0.969,19.355,23.619,19.607,202.909,1553.939,8236.031,21513710.371,2612.145,0.471,212.746,7,263.968,23.619,19.607,0.635,93.817,0,1,3,1
15,B,3,5,69.08,1306854.128,0.951,40,2238440.795,870.257,2246701.85,0.99,74344.956,41,587826.202,0.928,2493.0,57.473,0.947,21.458,16.186,13.549,243.892,2410.193,14677.679,29259814.39,1993.491,0.29,181.728,4,293.764,16.186,13.549,1.01,97.2,0,2,3,1
16,B,3,6,51.546,960742.267,0.977,35,1408714.821,543.766,1115488.452,0.945,222786.104,128,520729.66,0.902,2189.0,59.029,0.982,21.949,18.331,16.503,250.018,2082.768,12215.978,26549872.895,2173.373,0.562,160.91,6,220.542,18.331,16.503,0.72,84.26,0,2,3,1
17,B,3,7,45.419,718352.391,0.917,24,1444259.963,592.143,1466037.84,0.944,60232.277,35,589865.957,0.896,2408.0,59.289,0.976,21.839,20.424,21.141,250.758,2352.336,11508.062,17321691.533,1505.179,0.441,109.947,3,207.005,20.424,21.141,0.999,84.241,0,1,3,1
