,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,7,1,55.243,583311.97,0.842,25,1300779.24,727.133,2996599.581,1.213,87416.313,35,346876.964,0.846,1772.0,54.129,1.022,20.225,15.632,12.953,197.31,1758.026,19478.24,26413157.872,1356.034,0.351,116.784,3,220.277,15.632,12.953,1.015,91.512,0,1,1,5
1,B,7,2,109.218,1701704.557,0.95,63,2962284.25,742.238,3659516.461,0.97,86123.37,32,452361.797,0.891,2230.0,52.883,0.95,18.955,22.143,26.67,198.367,2280.432,22783.587,32067311.331,1407.474,0.573,72.559,2,175.712,22.143,26.67,1.255,65.09,0,0,1,5
2,B,7,3,33.589,425212.692,0.904,19,747736.929,496.551,1589877.722,0.977,132642.771,53,407728.967,0.831,1817.0,58.864,1.132,23.47,19.869,21.493,229.104,1779.667,10648.127,20642082.649,1938.565,0.329,148.981,4,272.096,19.869,21.493,0.793,103.75,0,2,1,5
3,B,7,4,97.916,1491964.115,0.918,51,2909131.052,654.674,3720709.322,1.091,99451.272,36,503735.716,0.897,2686.0,51.352,0.981,18.835,15.873,15.873,188.332,2674.719,19079.577,24415487.278,1279.666,0.452,118.492,4,188.656,15.873,15.873,1.021,72.039,0,0,1,5
4,B,7,5,1.584,28973.2,0.95,1,45905.102,703.262,2825348.045,1.326,55299.899,23,396537.725,0.82,1946.0,56.412,1.11,22.09,14.928,15.204,207.556,1910.507,20082.048,23485906.157,1169.498,0.413,103.743,5,188.73,14.928,15.204,1.144,74.745,0,1,1,5
5,B,7,6,6.021,28765.561,0.567,1,173189.256,735.478,3310817.756,1.234,70511.06,28,356167.561,0.8,1890.0,54.986,1.126,22.203,16.063,16.73,192.557,1849.671,15792.932,25472703.972,1612.918,0.324,121.695,2,250.275,16.063,16.73,1.216,112.862,0,0,1,5
6,B,7,7,33.378,558734.513,0.924,21,893688.68,493.487,1587648.368,1.065,304797.405,119,383627.833,0.67,1643.0,66.337,1.467,26.91,17.67,18.154,234.702,1634.53,8994.326,39226197.663,4361.216,0.191,323.476,6,535.689,17.67,18.154,1.064,215.451,0,4,1,5
7,B,7,8,1.901,56367.111,0.965,2,53584.789,724.704,2890201.923,1.296,77973.714,32,383291.306,0.887,2191.5,50.369,0.95,18.035,20.044,22.103,179.143,2139.587,17741.636,24725403.704,1393.637,0.617,77.456,2,168.515,20.044,22.103,0.987,67.665,0,0,1,5
8,B,7,9,16.266,251042.244,0.97,10,409670.806,516.091,1800877.916,0.998,104453.036,41,353578.865,0.879,1845.0,52.142,0.961,18.242,28.724,33.364,190.233,1858.657,11856.559,27813837.784,2345.861,0.509,139.164,4,240.584,28.724,33.364,1.644,87.118,0,2,1,5
9,B,7,1,6.232,68742.788,0.775,3,144728.595,666.081,2587198.228,1.343,36785.381,18,323512.575,0.893,1951.0,47.443,0.92,17.701,16.641,16.954,160.024,2021.647,17480.299,20055426.367,1147.316,0.456,99.954,3,177.858,16.641,16.954,1.036,61.348,0,1,2,5
10,B,7,2,48.799,749824.123,0.966,34,1077174.415,705.48,2108886.092,1.05,120095.858,57,559233.085,0.924,2349.0,57.61,0.961,20.698,13.332,11.036,244.103,2290.971,15469.962,21000672.333,1357.513,0.318,122.913,3,231.607,13.332,11.036,1.174,100.216,0,1,2,5
11,B,7,3,17.745,226305.352,0.966,9,445544.869,598.269,2143782.897,1.223,47072.018,23,355083.199,0.904,1837.0,51.818,0.971,19.366,21.823,23.67,193.191,1837.99,12154.087,16034595.267,1319.276,0.628,98.786,4,162.432,21.823,23.67,1.01,62.718,0,0,2,5
12,B,7,4,74.678,1055412.855,0.968,46,1728706.651,853.991,2742299.249,1.0,91710.856,41,371676.079,0.851,2055.0,52.037,1.039,19.899,17.248,14.187,183.368,2026.944,14899.776,27159281.46,1822.798,0.404,132.65,3,237.977,17.248,14.187,1.122,102.493,0,1,2,5
13,B,7,5,151.891,2234263.736,0.966,90,3828551.846,1081.933,3715085.234,1.207,179587.335,86,251957.429,0.741,1967.0,45.67,1.129,15.981,26.683,31.5,122.949,2049.278,14017.765,25832876.049,1842.867,0.586,122.95,4,198.786,26.683,31.5,0.698,65.892,0,2,2,5
14,B,7,6,56.299,748216.814,0.942,33,1279014.248,959.301,3190998.761,1.175,232587.603,112,357018.067,0.791,1630.0,58.635,1.113,21.334,26.26,28.397,216.534,1648.781,10581.821,34625898.909,3272.206,0.386,247.438,8,326.445,26.26,28.397,1.35,119.522,0,4,2,5
