,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,56.827,482177.141,0.808,25,1003089.302,401.487,259161.796,1.303,36778.118,74,263636.033,0.921,1445.0,50.23,0.919,18.035,11.418,10.855,184.847,1426.243,12434.525,12834705.071,1032.183,0.319,100.563,2,201.489,11.418,10.855,1.319,92.327,0,0,1,1
1,B,3,2,217.168,1364827.065,0.811,83,3780887.111,551.16,448920.589,1.051,32479.477,58,299385.667,0.929,1607.0,49.817,0.958,17.316,11.278,9.199,183.473,1631.766,13412.786,17975683.6,1340.19,0.243,159.881,5,263.509,11.278,9.199,1.169,114.961,0,1,1,1
2,B,3,3,237.237,1449652.589,0.826,84,4212128.133,635.027,433236.414,1.19,57721.655,112,301345.463,0.894,1523.0,53.276,1.003,20.135,13.0,11.719,201.852,1492.9,10164.42,22809333.449,2244.037,0.199,211.741,4,376.504,13.0,11.719,0.847,166.455,0,0,1,1
3,B,3,4,217.696,1466687.133,0.803,77,4375820.608,517.676,479554.833,1.032,36581.138,65,418785.113,0.961,2342.5,48.055,0.91,16.163,15.614,16.578,176.608,2371.274,12871.697,22758233.526,1768.083,0.334,152.603,4,257.992,15.614,16.578,0.753,97.281,0,2,1,1
4,B,3,5,107.95,524205.502,0.85,27,2275789.087,964.688,621103.012,1.323,104553.182,212,473690.762,0.938,2015.0,56.406,0.928,19.903,13.792,14.181,237.554,1994.032,13688.037,32089989.147,2344.382,0.179,238.32,7,405.181,13.792,14.181,1.427,160.683,0,3,1,1
5,B,3,6,0.951,21703.556,0.965,1,20632.252,473.735,350469.746,1.366,44971.755,92,248592.906,0.776,1409.0,53.598,1.127,22.028,14.61,12.793,177.347,1401.731,12383.788,15670525.358,1265.406,0.412,93.04,2,196.55,14.61,12.793,1.097,86.963,0,0,1,1
6,B,3,7,250.969,1696981.03,0.768,58,7823782.759,608.832,711344.028,1.228,19956.889,38,310880.691,0.889,1993.5,45.486,0.883,15.441,10.83,11.743,146.398,2123.525,28164.282,30278500.619,1075.067,0.302,105.367,2,211.674,10.83,11.743,0.993,98.922,0,0,1,1
7,B,3,8,30.632,348206.318,0.919,12,977744.837,457.152,430122.014,1.383,28257.22,57,455855.608,0.888,2587.0,50.271,0.95,19.334,9.877,7.866,178.509,2553.685,18969.046,22536892.385,1188.088,0.218,128.38,2,261.819,9.877,7.866,1.583,120.882,0,0,1,1
8,B,3,9,4.119,25624.949,0.695,1,105560.357,477.96,379458.857,1.431,29872.792,61,272248.93,0.829,1234.0,58.286,1.015,20.575,20.047,18.763,224.14,1214.64,10171.514,21130951.423,2077.464,0.374,195.043,6,264.287,20.047,18.763,0.824,97.15,0,0,1,1
9,B,3,1,202.064,1122052.275,0.794,62,4063384.777,494.227,354381.521,1.228,43575.289,83,298367.321,0.839,1332.0,58.939,1.033,22.831,10.008,9.874,232.062,1285.725,11073.68,18746380.791,1692.877,0.165,181.591,2,359.468,10.008,9.874,1.064,170.069,0,0,2,1
