,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,258.996,1932639.617,0.832,75,7029638.685,609.149,659587.108,1.05,29588.846,37,540799.451,0.865,2337.0,57.82,0.976,20.674,13.115,7.823,230.16,2349.664,16435.084,22055647.948,1341.986,0.294,146.347,4,239.459,13.115,7.823,0.93,102.185,0,2,1,0
1,B,2,2,211.993,2577200.036,0.85,96,5908124.448,677.7,826928.242,1.06,30033.479,35,582878.019,0.901,3483.5,48.152,0.924,17.213,15.168,14.038,166.256,3505.902,21400.495,25301341.845,1182.278,0.398,117.047,4,193.12,15.168,14.038,0.885,72.512,0,2,1,0
2,B,2,3,31.265,373220.709,0.894,17,657741.705,204.704,164204.659,1.249,61053.431,89,251718.396,0.757,1222.0,58.834,1.124,23.765,21.382,21.382,208.401,1207.855,12110.518,22570074.448,1863.675,0.525,116.411,3,211.234,21.382,21.382,0.865,86.888,0,1,1,0
3,B,2,4,164.461,1604648.981,0.839,57,5032489.781,496.234,702955.059,1.051,31001.745,40,391221.75,0.86,2804.0,44.47,0.949,15.967,21.775,26.0,135.308,2891.35,16022.89,20598725.365,1285.581,0.488,139.666,6,182.02,21.775,26.0,1.079,59.574,0,0,1,0
4,B,2,5,315.507,3153777.836,0.847,138,7457019.267,520.95,513707.499,0.912,86999.649,103,517278.312,0.885,1644.0,65.919,1.001,24.27,32.829,36.871,306.0,1690.451,9956.785,23999820.05,2410.399,0.519,162.181,5,241.668,32.829,36.871,0.899,89.911,0,1,1,0
5,B,2,6,158.123,2088812.337,0.865,75,4507351.901,387.861,339866.95,1.143,47881.296,68,526757.03,0.917,2345.0,55.364,0.911,20.155,23.023,26.478,223.717,2354.568,15275.537,20336589.125,1331.317,0.738,63.407,2,150.544,23.023,26.478,1.174,57.782,0,0,1,0
6,B,2,7,106.366,1344667.955,0.864,54,2742288.158,534.048,510462.968,1.24,39468.709,56,394271.295,0.899,1849.0,54.749,0.928,20.204,18.625,20.949,214.528,1837.858,13066.128,25089391.435,1920.186,0.446,127.75,3,232.479,18.625,20.949,0.984,104.694,0,1,1,0
7,B,2,8,109.535,1045039.49,0.842,39,2902076.041,532.992,616092.721,1.131,11614.573,15,466123.04,0.911,2689.0,48.954,0.883,16.954,19.723,21.15,173.756,2682.634,18402.701,18707269.907,1016.55,0.528,99.102,4,155.491,19.723,21.15,1.085,67.153,0,2,1,0
8,B,2,9,22.498,329138.121,0.956,13,579849.493,424.408,449366.439,1.289,31647.106,45,502798.808,0.895,2285.0,55.478,1.006,21.311,22.132,24.808,219.175,2294.05,11540.513,16034528.933,1389.412,0.59,91.772,3,172.045,22.132,24.808,1.425,70.203,0,1,1,0
9,B,2,1,226.041,1763608.28,0.798,57,8076404.263,476.059,692041.721,1.12,18502.163,23,517609.24,0.951,2363.0,53.608,0.87,19.562,24.999,26.806,217.485,2379.975,16756.004,19663360.766,1173.511,0.691,104.35,5,146.044,24.999,26.806,0.822,53.306,0,1,2,0
