,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,2,1,426.309,1298084.799,0.756,114,5198811.197,331.562,446773.517,1.037,168295.68,153,444598.666,0.823,3413.0,44.494,1.119,17.98,20.423,18.111,129.709,3427.651,7199.572,17112771.656,2376.915,0.355,180.671,6,290.105,20.423,18.111,1.279,106.279,1,0,1,0
1,B,2,2,215.056,819519.95,0.832,81,2306362.597,418.281,661908.146,0.947,42306.576,35,1206059.128,0.85,3291.0,73.401,1.009,23.475,19.502,19.326,364.623,3307.688,7919.815,9192771.317,1160.731,0.65,64.792,2,149.833,19.502,19.326,1.153,62.862,0,0,1,0
2,B,2,3,388.072,1019889.181,0.822,108,4074591.335,528.344,830236.044,0.944,87151.744,72,552362.393,0.889,3467.5,47.84,1.047,18.438,12.481,13.197,161.82,3413.439,5267.881,11355588.019,2155.627,0.186,209.13,5,381.3,12.481,13.197,0.996,162.226,0,3,1,0
3,B,2,4,220.971,779333.069,0.773,67,2894678.166,504.473,927780.716,0.864,23859.488,19,610156.19,0.827,3476.0,51.791,1.153,19.891,18.499,18.23,176.502,3456.936,12561.939,12938355.699,1029.965,0.64,91.964,4,142.257,18.499,18.23,1.031,57.346,0,2,1,0
4,B,2,5,2.852,22781.611,0.99,2,31877.681,151.363,177162.294,1.347,84627.053,81,364876.262,0.875,3140.0,40.886,1.027,15.786,26.452,27.37,116.4,3134.662,6582.128,7274376.643,1105.171,0.658,96.881,4,145.313,26.452,27.37,0.78,48.191,0,2,1,0
5,B,2,6,157.278,606713.217,0.818,52,2027330.961,609.677,912361.664,1.253,110726.851,104,493198.302,0.762,3202.0,50.459,1.212,18.821,21.014,16.952,154.32,3195.936,7245.669,14937814.656,2061.62,0.332,204.398,8,279.329,21.014,16.952,1.045,78.629,0,2,1,0
6,B,2,7,459.793,1436069.081,0.744,110,6873602.764,565.525,1177835.177,1.059,68873.766,58,511971.104,0.917,3559.0,44.398,1.041,16.655,19.839,16.954,143.863,3558.731,8100.999,13979258.473,1725.622,0.381,128.988,5,238.554,19.839,16.954,1.217,89.547,0,3,1,0
7,B,2,8,199.212,531221.968,0.806,60,1883554.273,147.032,222584.789,0.918,58831.444,46,252033.903,0.843,3146.0,34.568,1.037,12.038,19.405,22.538,80.171,3143.721,5140.964,7626207.494,1483.42,0.344,169.221,9,232.949,19.405,22.538,0.831,77.98,1,3,1,0
8,B,2,9,167.418,444067.692,0.805,47,1731250.35,432.224,687324.226,1.048,38977.083,34,543293.506,0.901,3392.0,47.474,1.033,17.225,12.832,12.953,161.609,3361.784,6225.081,6403066.963,1028.592,0.423,86.099,2,174.718,12.832,12.953,1.033,80.356,0,0,1,0
9,B,2,10,465.074,1302442.006,0.747,112,5949847.055,741.076,1402611.717,0.976,51613.617,42,325587.081,0.583,3333.5,45.609,1.15,14.223,21.823,24.087,96.543,3372.467,6582.524,10313229.393,1566.759,0.653,79.906,2,173.624,21.823,24.087,1.056,74.558,0,0,1,0
10,B,2,11,221.499,632574.559,0.734,54,2810707.355,317.619,762224.776,0.714,46780.92,24,561972.088,0.74,3463.5,52.395,1.249,19.084,20.812,21.557,161.609,3477.363,6454.794,6736844.751,1043.696,0.643,71.622,3,142.79,20.812,21.557,0.922,55.963,0,1,1,0
11,B,2,12,301.247,851217.949,0.759,82,3279240.266,793.361,1461778.66,0.958,44311.956,34,237806.53,0.827,3141.5,33.859,1.09,12.921,16.264,14.983,75.417,3153.206,4957.77,6591987.397,1329.627,0.375,125.561,4,211.05,16.264,14.983,1.281,73.997,0,2,1,0
12,B,2,13,142.913,411619.702,0.846,47,1372558.208,285.614,406881.736,1.132,63155.44,58,474587.532,0.823,2907.0,50.015,1.166,20.155,20.225,21.421,163.827,2896.885,5614.347,6678639.961,1189.567,0.662,86.098,4,150.264,20.225,21.421,0.881,58.797,0,0,1,0
13,B,2,14,236.709,923580.175,0.899,92,2449584.112,503.416,719452.664,1.184,82554.821,75,245029.91,0.882,2983.0,34.142,0.998,11.39,23.102,23.308,81.861,2993.258,6204.852,9728062.869,1567.815,0.631,91.648,3,176.768,23.102,23.308,1.393,73.092,0,1,1,0
14,B,2,15,232.484,695516.06,0.845,77,2212105.975,444.16,707808.601,1.088,56597.665,49,507494.121,0.948,3227.5,45.578,0.976,16.149,17.814,20.832,156.75,3237.605,5671.062,6965944.693,1228.332,0.592,75.616,2,161.494,17.814,20.832,1.376,70.612,0,0,1,0
15,B,2,16,106.683,195195.928,0.661,14,1752829.544,541.019,795201.502,1.355,146881.843,141,439315.435,0.84,3934.0,41.001,1.092,16.163,15.692,14.32,112.387,3908.963,7840.451,11942068.538,1523.135,0.317,132.64,3,245.662,15.692,14.32,1.427,105.973,0,1,1,0
16,B,2,17,3.274,45491.071,1.331,4,37063.312,249.173,311473.996,1.38,82757.117,80,437315.924,0.695,2678.5,54.361,1.268,21.138,20.393,20.393,163.51,2674.552,6332.427,6470673.363,1021.832,0.709,98.373,5,134.558,20.393,20.393,0.783,48.799,0,1,1,0
17,B,2,18,147.243,530527.482,0.885,55,1522367.442,410.465,520492.845,1.245,100569.44,95,557882.121,0.824,3160.0,51.957,1.148,20.107,15.549,16.656,177.03,3151.339,5888.293,7953628.146,1350.753,0.451,94.791,2,194.058,15.549,16.656,1.328,89.019,0,0,1,0
18,B,2,19,308.535,679167.779,0.705,64,3646402.181,464.757,780061.832,1.045,26433.022,22,519998.407,0.825,3020.0,50.647,1.078,19.306,18.865,19.886,168.474,3086.513,5846.335,7171357.134,1226.642,0.584,68.44,2,162.401,18.865,19.886,1.065,67.053,0,0,1,0
19,B,2,20,43.201,154898.792,0.78,15,454981.337,732.52,1072245.034,1.363,70683.577,68,506118.757,0.829,2939.0,51.075,1.083,19.229,16.063,17.629,172.171,2939.623,7060.129,10850478.418,1536.867,0.413,107.035,2,216.168,16.063,17.629,1.237,100.377,0,0,1,0
20,B,2,21,202.803,1003887.16,0.826,66,3385017.474,649.498,1278963.97,1.178,28541.622,26,809319.445,0.725,3879.0,59.612,1.282,22.866,13.322,9.802,205.021,3947.491,8188.862,9260278.534,1130.838,0.372,91.774,2,195.463,13.322,9.802,1.528,86.728,0,0,1,0
21,B,2,22,3.697,42652.226,0.97,4,39657.079,452.716,671520.693,1.371,46451.853,45,403695.827,0.881,2818.0,45.194,0.982,15.562,24.783,25.799,143.124,2820.601,6862.17,7508488.461,1094.186,0.843,47.81,2,127.744,24.783,25.799,0.716,44.623,0,0,1,0
22,B,2,1,41.934,125164.126,0.84,13,392403.712,334.097,443202.705,1.22,35523.579,34,419444.962,0.861,2830.0,46.528,1.035,16.656,20.74,18.499,148.405,2826.347,6077.383,6609986.273,1087.637,0.683,77.537,3,141.459,20.74,18.499,1.056,46.211,0,1,2,0
23,B,2,2,65.911,269632.124,0.903,26,696465.89,273.573,339064.61,1.301,63428.923,61,404846.523,0.91,2899.0,43.984,0.995,16.328,25.641,27.372,140.061,2890.505,6447.929,6626837.621,1027.747,0.85,42.645,2,123.253,25.641,27.372,0.95,43.406,0,0,2,0
24,B,2,3,27.357,108251.169,0.887,11,280753.243,248.751,289450.219,1.315,114500.845,112,233711.388,0.761,2767.0,37.403,1.178,14.181,12.044,9.125,84.713,2758.877,6613.875,7162057.559,1082.884,0.341,127.067,5,199.797,12.044,9.125,0.846,78.307,0,3,2,0
25,B,2,4,32.427,132163.209,0.826,13,373963.0,443.843,580896.464,1.318,67150.328,65,429257.461,0.853,3166.0,44.377,1.028,17.064,14.731,13.703,133.723,3210.043,5834.926,9896302.569,1696.046,0.235,164.031,4,300.992,14.731,13.703,0.807,94.154,0,2,2,0
26,B,2,5,62.108,190509.014,0.748,17,732279.851,231.85,279289.259,1.186,105872.41,103,461031.522,0.739,2942.0,51.764,1.218,19.839,23.675,25.538,157.489,2927.384,7572.126,8969957.001,1184.602,0.758,75.472,3,140.122,23.675,25.538,1.052,54.427,0,1,2,0
27,B,2,6,44.786,151609.769,0.859,17,421671.043,406.662,543652.742,1.181,65022.111,62,485320.566,0.724,3002.5,53.006,1.299,20.795,19.15,19.85,161.82,2999.14,5190.477,5330657.468,1027.007,0.61,92.345,4,145.417,19.15,19.85,1.029,45.746,0,2,2,0
28,B,2,7,19.013,126338.611,1.044,13,177689.582,483.664,684445.585,1.345,56652.794,55,420126.465,0.871,3317.5,42.609,1.023,15.473,16.338,14.335,125.907,3336.803,6197.675,8105088.535,1307.763,0.489,85.393,2,183.236,16.338,14.335,1.058,78.299,0,0,2,0
29,B,2,8,51.44,220746.386,0.841,27,416711.98,568.694,649919.423,1.249,240309.713,234,324033.525,0.506,3010.0,51.862,1.828,18.955,20.044,14.025,108.267,2992.904,4989.515,13369054.223,2679.43,0.361,187.413,4,305.363,20.044,14.025,0.999,125.801,0,0,2,0
30,B,2,9,385.96,1068953.792,0.818,104,4548973.317,445.005,721704.412,0.955,91658.699,74,867746.896,0.776,3835.5,60.127,0.982,20.225,18.781,20.164,223.295,3886.108,5848.018,8384126.508,1433.67,0.407,112.532,3,210.322,18.781,20.164,0.985,89.463,0,1,2,0
31,B,2,10,286.671,914703.108,0.752,89,3258897.642,420.183,714142.288,0.897,51777.839,43,579924.171,0.857,3266.5,50.599,1.099,18.995,14.033,14.708,174.706,3319.422,5474.781,5707069.421,1042.429,0.421,107.951,4,176.435,14.033,14.708,0.892,70.978,0,0,2,0
32,B,2,11,130.766,512666.932,0.937,54,1331340.285,510.071,752588.674,1.157,46209.004,43,493949.73,0.937,2983.0,47.224,0.986,16.614,15.914,15.914,166.256,2971.015,5912.788,6465941.081,1093.552,0.486,73.877,2,168.129,15.914,15.914,1.133,70.943,0,0,2,0
33,B,2,12,332.829,1063488.814,0.784,105,3628747.86,427.576,667620.009,0.913,65265.071,54,483336.899,0.609,3060.0,56.898,1.304,19.397,18.678,20.921,156.855,3081.415,6404.948,8312558.054,1297.834,0.561,75.311,2,170.508,18.678,20.921,1.43,70.339,0,0,2,0
34,B,2,13,219.703,724982.137,0.87,87,1975915.742,235.019,300556.96,1.068,88907.216,82,460034.618,0.858,3193.0,45.611,1.023,16.263,20.424,21.987,142.068,3238.135,5233.967,6455583.972,1233.402,0.628,65.431,2,157.113,20.424,21.987,1.214,63.691,0,0,2,0
