,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER
0,B,3,1,8.45,91630.919,0.875,5,155066.797,430.323,371182.486,1.376,49842.888,80,254749.562,0.814,1144.0,58.828,1.029,22.452,18.153,17.985,224.245,1136.031,9410.251,16581452.402,1762.063,0.394,139.001,4,237.118,18.153,17.985,0.856,92.485,0,2,1,1
1,B,3,2,190.128,1315513.559,0.771,58,4688710.317,363.672,533230.989,1.014,24919.855,26,359348.506,0.884,1935.0,52.422,1.01,20.519,16.546,18.437,193.402,1858.037,12214.391,14318244.603,1172.244,0.413,95.081,3,188.791,16.546,18.437,0.893,80.158,0,1,1,1
2,B,3,3,205.549,1591472.058,0.817,68,5271706.638,579.045,725550.698,1.053,16667.509,23,510061.375,0.816,1961.0,61.211,0.879,19.785,21.858,24.621,243.258,2096.792,17572.364,22638958.297,1288.327,0.72,66.072,2,149.943,21.858,24.621,0.923,62.844,0,0,1,1
3,B,3,4,72.354,850899.01,0.908,32,1879732.492,715.514,832231.225,1.253,28108.839,42,327881.501,0.832,1815.5,53.094,1.067,21.076,12.902,10.1,186.748,1755.745,15796.326,23841367.71,1509.298,0.283,139.795,3,258.914,12.902,10.1,1.237,116.345,0,1,1,1
4,B,3,5,239.561,2982916.921,0.798,98,7437286.531,734.95,1215732.939,1.182,12667.07,18,466336.3,0.939,2705.0,48.793,0.898,17.546,22.378,23.467,177.875,2621.705,21541.182,24036495.713,1115.839,0.681,61.375,2,143.538,22.378,23.467,1.046,55.681,0,0,1,1
5,B,3,6,9.612,24518.352,0.98,1,235670.866,680.763,641188.858,1.321,53555.934,86,548365.694,0.963,2787.0,50.758,0.83,17.525,18.688,17.522,197.416,2777.715,15759.36,22790139.726,1446.134,0.37,129.097,4,221.706,18.688,17.522,1.413,98.468,0,2,1,1
6,B,3,7,53.341,481682.811,0.879,23,1122786.192,603.339,602829.93,1.206,26363.03,40,511609.967,0.838,2231.0,59.673,1.065,23.625,17.225,17.86,237.343,2155.573,10744.485,16147403.086,1502.855,0.455,113.451,3,203.719,17.225,17.86,0.925,88.053,0,1,1,1
7,B,3,1,51.968,606406.734,0.88,26,1227350.913,742.977,651398.195,1.291,59980.701,90,301011.788,0.814,1209.0,62.806,1.048,23.687,19.778,18.758,255.405,1178.566,11676.0,21090594.78,1806.32,0.729,118.048,4,176.504,19.778,18.758,0.829,58.528,0,2,2,1
8,B,3,2,41.828,455514.206,0.869,17,1072159.37,317.302,356605.278,1.354,43185.613,64,317529.568,0.877,1699.0,50.292,0.925,19.679,10.62,10.851,176.502,1799.014,17662.866,18833920.618,1066.3,0.808,98.116,5,128.811,10.62,10.851,0.679,44.051,0,1,2,1
9,B,3,3,15.421,99220.188,0.869,5,321863.427,676.538,652392.881,1.376,62968.439,95,249649.594,0.898,1188.5,54.666,0.933,20.129,29.15,30.359,213.577,1168.898,9704.367,21743129.623,2240.551,0.658,136.695,4,206.86,29.15,30.359,0.792,80.536,0,0,2,1
10,B,3,4,327.654,2777537.896,0.816,122,7638947.222,641.787,773553.65,0.878,39982.902,43,583676.873,0.882,2582.0,56.942,0.998,21.698,26.243,29.539,227.625,2564.2,14415.855,26184306.152,1816.355,0.525,158.98,5,208.535,26.243,29.539,0.74,67.838,1,1,2,1
11,B,3,5,307.585,2559597.361,0.76,99,8088071.776,742.132,1010699.38,0.887,29360.768,32,606332.613,0.801,2857.0,56.435,0.899,18.42,20.8,21.775,203.12,2985.097,13577.41,26114173.163,1923.354,0.382,166.619,5,251.457,20.8,21.775,1.009,84.2,0,3,2,1
12,B,3,6,266.601,2285635.615,0.784,96,6679299.705,424.091,613774.534,0.761,49947.872,45,332152.618,0.922,1736.0,52.417,0.966,19.671,18.237,19.671,201.536,1648.11,13419.8,17688827.57,1318.114,0.334,155.867,6,222.65,18.237,19.671,0.762,79.894,0,2,2,1
13,B,3,7,392.508,2794891.773,0.833,147,7944316.846,908.6,1049721.01,1.089,65374.494,89,301308.493,0.898,1228.0,59.388,1.0,21.477,30.362,32.223,252.025,1195.55,11958.109,31526832.668,2636.44,0.606,206.767,7,233.882,30.362,32.223,0.918,75.299,0,3,2,1
14,B,3,8,29.787,309444.566,0.887,13,745679.64,468.982,517886.721,1.208,21992.531,32,286135.763,0.831,1871.0,49.497,1.029,19.405,10.391,11.375,162.031,1765.93,12893.839,14204952.592,1101.685,0.245,124.847,3,237.671,10.391,11.375,0.979,105.567,0,1,2,1
15,B,3,1,233.857,1810130.042,0.804,68,6776520.209,766.321,798926.951,1.3,24159.275,42,328524.239,0.902,1580.0,55.122,0.935,20.027,12.264,10.725,218.119,1506.17,19663.417,29758963.8,1513.418,0.27,130.574,2,265.203,12.264,10.725,0.998,123.538,0,0,3,1
16,B,3,2,290.896,2124971.577,0.785,86,7374006.278,644.005,684950.691,1.158,31641.895,46,334769.2,0.888,1503.0,57.538,1.007,22.172,17.225,11.776,233.963,1430.865,11326.213,21912332.743,1934.657,0.299,167.573,5,285.241,17.225,11.776,0.929,110.693,0,1,3,1
17,B,3,3,509.965,5293450.635,0.86,231,12053710.662,1172.033,1040388.161,0.95,94174.616,137,375197.564,0.888,1323.5,63.867,1.062,24.465,26.701,29.437,288.149,1302.094,12545.632,46630781.253,3716.894,0.427,226.015,5,330.694,26.701,29.437,1.057,98.259,0,1,3,1
18,B,3,1,42.99,383290.586,0.844,13,1354516.553,417.436,408845.757,1.298,20167.166,30,256658.763,0.875,1446.0,51.006,0.975,19.515,13.329,7.119,181.15,1416.833,11198.466,13589828.995,1213.544,0.351,135.395,4,208.362,13.329,7.119,1.176,73.662,0,2,4,1
19,B,3,2,143.863,2077393.851,0.873,65,4766440.921,472.256,470212.268,1.207,32203.585,47,535658.394,0.918,2831.0,51.084,0.895,18.688,22.953,25.25,190.55,2811.112,15143.191,16377521.585,1081.511,0.739,54.216,2,135.589,22.953,25.25,0.865,49.676,0,0,4,1
20,B,3,3,40.983,607101.88,0.89,17,1391660.459,565.842,668268.556,1.204,20688.104,30,576736.572,0.912,2856.0,51.368,0.943,19.33,12.264,12.168,191.501,3011.664,14338.02,16577455.703,1156.189,0.359,112.586,3,201.07,12.264,12.168,0.996,92.153,0,1,4,1
21,B,3,4,320.26,4511340.771,0.908,146,10402819.961,736.006,853848.973,0.841,60255.709,69,508225.796,0.696,2663.0,56.659,1.136,21.775,31.953,36.221,177.77,2858.903,13999.926,25868025.407,1847.726,0.66,139.195,6,187.561,31.953,36.221,0.719,62.323,0,2,4,1
22,B,3,5,25.667,427041.806,0.881,13,850015.89,706.853,651980.515,1.273,41225.59,63,575660.766,0.812,2845.0,54.277,0.986,20.164,17.37,13.928,190.445,3022.718,13781.114,19938065.303,1446.767,0.489,127.255,4,192.89,17.37,13.928,1.031,75.624,0,2,4,1
23,B,3,6,30.737,434065.59,0.929,16,859569.603,511.866,427135.951,1.147,79995.07,119,167677.027,0.663,1291.0,49.742,1.105,15.377,25.256,11.95,130.554,1284.345,10544.786,27401947.235,2598.625,0.257,268.66,9,356.667,25.256,11.95,0.937,100.154,1,5,4,1
24,B,3,1,27.674,597671.375,0.898,14,1241682.222,727.133,585671.419,1.315,17995.344,38,516290.281,0.936,2810.5,49.452,0.839,17.927,14.542,14.646,182.1,2835.198,15087.432,19649506.15,1302.376,0.39,98.695,2,204.867,14.542,14.646,1.539,93.764,0,0,5,1
25,B,3,2,4.964,119995.528,1.0,3,197916.862,804.03,446903.86,1.313,78694.769,176,274191.931,0.866,1218.0,57.659,0.996,21.839,18.631,16.203,228.998,1197.353,10052.327,22927296.163,2280.795,0.337,182.857,5,291.67,18.631,16.203,1.065,110.212,0,3,5,1
26,B,3,3,52.602,1115441.196,0.88,29,2013713.476,692.805,462667.994,1.184,35050.831,74,532952.135,0.886,2130.5,61.02,0.966,23.916,17.339,16.952,262.588,2029.616,10866.431,17344163.378,1596.123,0.463,99.607,2,208.044,17.339,16.952,1.172,92.66,0,0,5,1
27,B,3,4,497.29,11566096.96,0.885,273,21031059.728,1780.336,1264839.161,1.002,116832.122,223,700700.354,0.912,1665.0,76.932,0.98,27.617,28.357,25.625,429.583,1631.116,14312.712,80004610.833,5589.759,0.26,382.744,9,520.178,28.357,25.625,0.948,174.892,1,4,5,1
28,B,3,5,140.166,3097673.739,0.883,78,5506429.189,773.82,563598.843,1.008,26073.591,51,331041.215,0.898,1524.0,56.417,0.99,21.061,12.368,8.188,227.414,1455.676,11389.917,25579844.291,2245.832,0.188,220.914,4,387.194,12.368,8.188,0.851,180.948,0,0,5,1
29,B,3,6,49.222,1236865.795,0.897,30,2041764.939,1169.498,779007.362,1.155,55188.24,115,670134.661,0.946,1716.0,72.236,0.93,24.391,27.12,26.15,392.72,1706.395,15291.337,46339274.695,3030.427,0.444,180.958,4,292.848,27.12,26.15,0.793,113.031,0,2,5,1
30,B,3,7,91.473,2104863.309,0.916,52,3760912.278,634.393,549320.03,0.989,16389.496,32,322861.598,0.778,1778.0,54.654,1.162,21.875,15.452,14.761,184.847,1746.647,12587.458,22758253.384,1808.01,0.318,129.402,2,267.144,15.452,14.761,1.101,119.666,0,0,5,1
31,B,3,8,102.141,1812433.507,0.898,52,3593885.911,344.554,337167.451,0.826,12456.857,18,292630.213,0.874,1329.0,56.702,1.058,22.603,21.781,19.696,223.506,1309.273,9901.579,12892439.506,1302.059,0.558,115.096,5,171.246,21.781,19.696,0.783,68.018,0,1,5,1
32,B,3,1,212.309,3283392.96,0.953,119,5929048.335,471.411,400781.695,0.979,168445.008,234,310920.829,0.941,1266.0,57.391,0.997,20.892,20.424,20.044,246.744,1260.096,8457.403,32946776.863,3895.614,0.269,246.991,4,426.565,20.424,20.044,0.858,183.999,0,2,6,1
33,B,3,2,202.169,2352529.929,0.758,67,7170602.538,627.105,695439.622,1.054,17039.13,23,303681.606,0.777,1721.0,54.007,1.14,21.775,11.776,10.422,180.305,1684.27,16941.535,25464250.043,1503.066,0.245,177.153,6,277.445,11.776,10.422,0.835,118.005,0,0,6,1
34,B,3,1,411.521,3372767.511,0.791,145,10398254.146,610.522,583355.24,0.889,83909.779,114,428552.615,0.877,1991.0,54.899,0.965,21.438,23.075,23.354,210.303,2037.791,11728.053,23351269.653,1991.061,0.426,153.748,5,242.33,23.075,23.354,0.943,86.426,0,3,7,1
35,B,3,2,219.281,2540376.872,0.874,107,5414651.939,592.46,505329.199,1.084,33910.129,53,310684.226,0.768,1652.0,56.235,1.168,22.504,14.352,15.393,193.191,1608.171,13141.516,23426853.819,1782.66,0.302,147.358,3,272.321,14.352,15.393,1.458,124.655,0,1,7,1
36,B,3,3,389.128,4405706.089,0.778,129,13462723.139,903.213,977710.719,1.197,27803.8,44,608608.655,0.915,3429.5,49.245,0.915,17.805,18.026,14.926,176.608,3446.106,22730.926,35462622.644,1560.105,0.397,123.645,3,222.131,18.026,14.926,1.218,94.993,0,1,7,1
37,B,3,4,335.048,4123552.848,0.895,159,9128581.619,1329.627,1007567.447,1.194,110159.883,194,573575.169,0.905,1673.0,68.794,0.931,23.678,44.197,44.197,340.751,1683.266,11320.821,37174398.515,3283.719,0.512,187.054,4,283.839,44.197,44.197,0.791,103.012,0,2,7,1
38,B,3,5,198.895,1650054.57,0.772,75,4508273.916,327.971,276463.748,0.924,34343.466,52,289563.028,0.814,1553.0,54.645,1.097,21.823,13.602,12.462,193.508,1496.389,8033.37,12975834.863,1615.242,0.302,150.896,4,259.383,13.602,12.462,0.909,115.555,0,0,7,1
